id,uid,title,score,date,content,,,
,,Amazing giant wheel experience,5,,Amazing experience with full city view in night . while climbing the stairs one gets many color full and light ful things on way . Go for it !!,,,
,,A little bit boring,3,,"We went to this flyer and the view from up there is beautiful, However, the ride is about 40 mins and it can get quite boring after some time.",,,
,,Not impressed with the views vs price,2,,The views were okay and they just don't do justice with the entry fee. I'd suggest you to drop this and better go on Marina Sands viewing deck for much better views.,,,
,,Breathtaking views!,5,,"Went at night for a different experience. Ride took around 30 minutes long. There was a queue when we went but it moved pretty fast. Once at the top, views of the Singapore skyline are breathtaking, especially at night with all the city lights. Nice to know that you could actually book a capsule and have dinner with friends/family while admiring the Singapore skyline",,,
,,Iconic,4,,The best of the region on the birds eye view of singapore and as far as Indonesia.. One time will enough to blow you away.,,,
,,45 minutes,5,,It takes 45 minutes to make a circle and its worthy. place to visit after 10pm so that you can see the whole Singapore skyline during night,,,
,,"Fly, Fly, Flyer",5,,"Asia鈥檚 largest giant observation wheel lives up to its name. It鈥檚 awesome and the views are amazing. Panaromic views of the Beauty of Singapore.

It moves at a nice pace giving you ample time to breathe in the beauty.

165 metres above sea level, there鈥檚 a feast of iconic landmarks that you see. There are 4 pads in the capsule which tells details about various landmarks.",,,
,,Top of the world in Singapore,5,,Enjoy this very well know and special attraction when you visit Singapore as you have an excellent view of all that you can survey. Enjoy... it is amazing.,,,
,,Night time is magical,5,,"Very expensive for a family of 4, but the views are worth it. Went at night time and even though our cabin was full, it was well air conditioned and had plenty of bench seats. The views at the top are amazing. Trip takes about 30 minutes. Don鈥檛 bother paying for your photo that they ask you to have in front of a green screen before the ride. The quality is not very good and photos are quite expensive. Gift shop at the end is not too bad, lots of souvenirs to buy.",,,
,,Family return Visit after years,5,,"A family return visit to the Flyer so that my youngest granddaughter could see the city -this time in the daytime ( years previous we done an evening flight). We all were ver pleased with the flight as we could see what had been built in the intervening years.
Everything regarding the flight was first class regarding cleanliness and safety

remember to get your tickets on the ground floor not as we did get upstairs and then to go down again.

the only down thing was that we had to have our photos taken - after the flight we bought two copies of two photos and were told we could download the others from a website - this I was not able to do and chasing the company they did not help at all

My son eventually retrieved them by knowledge that normal people do not have at their fingertips",,,
,,"Expensive, but not crowded",3,,"We did the Flyer one weekend evening around 5:30. We had read that it was more crowded later, but even when we left the area after walking the grounds, there was only a few people waiting in line. We had four in our family, and had a pod all to ourselves, which was great for seeing everything. That said, the view isn't as good as others in the area (Marina Bay Sands, Level 33, etc) and it is quite expensive for a half hour ride.",,,
,,Fantastic,5,,"Did the night time ride this year and it was jaw dropping. The views were wonderful from the top of the wheel......the city lights made for great photos.
The cabins are clean and spacious and the ride so smooth.
Defiantly do this ride.
Annette and David (Aust)",,,
,,No sky diver at the Flyer,4,,"Great view of the Central Business District and of Singapore skyline in general makes the high price worth it. During the month of Singapore National Day, a promotion makes it a steal for senior locals in possession of a PAssion card, at just S$1.90 per ticket.",,,
,,Highlight of my time in Singapore,5,,I debated long and hard if I should go on this as I hate heights but my fear soon disappeared when I got on board. Magnificent view all over the city and beyond from the wheel. It takes 30 minutes to do a full circle. Wished I had done this early on my trip. I went on it during the day which was great but was also told I should have gone back and seen the city at night. Make sure you do this while in Singapore.,,,
,,Masterpiece Architecture - Spectacular view,5,,"You will be having spectacular view of singapore. Capsules having lot of dine and premium facilities (if u opt for). You can have view of near by indonesian islands too. seeing singapore from 165 meters tall (Awesome, is it???)",,,
,,Who wonders: beautiful view!,5,,Of course you have a wonderful view from the flyer. We had booked with Singapore Sling and almost no waiting time. A must in Singapore.,,,
,,Cool views but...,3,,"A lot of Singapore attractions are based on the views you can get from them, the higher the better. Singapore Flyer was expensive and not easy to get to - and offered a view I had already seen.

I have done the Vegas High Roller, and I will be doing the London Eye next month, so I guess I keep going to giant ferris wheels -- that said, its not a necessity. If you can get a sweet bargain, go ahead, but it's a long walk from public transport and usually a long wait in line, and its a 45 minute ride. I don't regret doing it - but I wouldn't have regretted skipping it and saving the time/money either.",,,
,,Great experience,5,,"Spacious cabins, smooth movement and jaw dropping views. Easy access by MRT. Clear directions make it easy. Best way to view Singapore.",,,
,,Nothing spectactular,3,,"We went to the singapore flyer. The first 5 mins of the ride is Ok, after the 5 mins things become boring. Many people clamped into one cabin",,,
,,Fascinating Attraction,5,,"A fascinating attraction and a landmark in Singapore with a hieght of 165 meters that let you discover the whole city from ubove. It is a piece of architecture and we enjoyed our trip in the morning that lets you view and take photos for the lovely Singapore city.

The trip last for 30 minutes and the capsules are very large and air-conditioned. Please note that the nearest underground station is bit far and requires at least 15 minutes walking and could be bothersome during humid weather.",,,
,,Fabulous views,4,,"During July we went to Singapore and Indonesia.
Singapore is an amazing place to stay, and the Singapore Flyer is brilliant, it is a bit bigger than the London eye and better set up. The views are fabulous, we went during the day but I think an evening fly would be better, to see Gardens by the Bay at night from there would be amazing.
Would recommend if you are there.",,,
,,Mesmerising,5,,Simply splendid. The views from the capsule is so captivating. The Flyer is a must do in Singapore. We had the luxury of getting a private cabin for the 6 of us and it was very memorable. Highly recommend!,,,
,,Magical experience.,5,,"My 2nd time on the Flyer and, by pure chance, our ride coincided with sunset and we were able to see the supertree light show this time. We were granted a wonderful view of Singapore lights. Our son is now keen to complete his trifecta and ride the London Eye, having been on the Melbourne Star earlier in the year. I am sure the Singapore Flyer will outclass the other 2.Having ""flown"" daytime, and night time, I would strongly recommend a night time view.",,,
,,Great in the evening!,5,,We chose to go on the Flyer in the evening literally 3/4 hour before it closed. There were no queues and we walked straight on. It was great and the staff were very polite and helpful. Couldn't fault it at all and fabulous views,,,
,,"Not to be missed - great fun, great views!",5,,"We love a good 'Ferris Wheel' and the Singapore Flyer did not disappoint! There was no waiting at all (we visited in the middle of the day) & it was easy to find our way there & onto the Flyer. Once on, the ride was very comfortable, it was clean & the view was absolutely incredible!",,,
,,Flyer,3,,Nice view but a bit over-priced for what you get. Similar to the view from the Marina Bay Sands hotel.,,,
,,It was a great experience so far.,4,,The view was fantastic and the air condition was also nice. The weather was also perfect so that we can see far. So Its a must try!!! thank you.,,,
,,Simple to use,4,,"Simple to use, I can really recommend this package. Nice activity when visiting Singapore. . I had a good time here.",,,
,,singapore flyer and gardens by the bay combo,5,,fairly recommended just because of redeeming the tickets for gardens by the bay at singapore flyer area before going to gardens. but redeeming is very easy. nice to have a gelato while waiting for singapore flyer,,,
,,The Singapore Flyer was great,5,,We enjoyed the views and the the little garden and fish pounds were added bonu.We could walk to the Garden by the bay from Singapore Flyer and loved the trees and the flower and cloud forest.over all a good day.,,,
,,Me and my parents had a super enjoyable day here!!!,5,,They have a love for flowers and gardens and this was the perfect place for them!! This place is magical!!,,,
,,We could come back and visit them later,5,,"We thought that we could get the ticket at the cloud forest and flower dome counter but apparently not, we need to take the mrt to the gellatismo counter, the only place, to get all the tickets. There will be a stuff sitting on the picnic table distributing tickets. Luckily, cloud forest and flower dome are open date ticket.",,,
,,This is the best package deal and turns out to be cheaper.,5,,Go for the Singapore flyer in the morning as you can get really good pictures of all the buildings around. Its an amazing view from top up. The ride is 30minutes and after that you can claim your free icecream since the weather is really hot Gardens by the bay is one of the best gardens one will ever see..,,,
,,"Fly high, great view.",4,,We have good experience with flyer. It has one of the biggest cabin we have ever been in. The wheel is very big so we can go high but still feel safety. It take about 30 minutes for each time so you have enough time to enjoy the whole view of Singapore highlights. We like it.,,,
,,The highest flyer in the Asia,4,,"This flyer is the highest in Asia and second highest in the world.

The best time for having a flyer ride is on weekdays and before sunset when you can see the day and also after sunset to see the city at night . To me , both are beautiful.

So, we got there at 6pm as the sunset was at 7:12pm. We purchased our tickets . The price of each ticket is S$33 for adults and S$21 for kids or child upto 12 years old. Each capsule or cabin's capacity is max 28 persons but normally when there is no queue , you can have your privacy.

The duration of flyer is 30 minutes .so, I recommend you to split your time in two 15 minutes : 15 minutes before sunset starts to see the day and places in the city. And second 15 minutes for after sunset to see the beauty of the night.

For example : if the sunset is 7:15. Then, you better get on board at 7 pm and get off at 7:30 pm.

Also, there are there screens giving you necessary information regarding the surroundings.

For those who are acrophobe, do not worry at all. You can not feel the hight when you are in the capsule. It is much safer than being on the plane. Moreover, the speed is very low and you can not feel the move and rotation at all.

There is a coffee shop under the flyer and Indian restaurant at the first floor and some shops .

To me , it was a good experience.

I have another tip for those who want to make a plan for the restime of the day. After finishing your ride,follow the river and go over the helix bridge to see the magnificent scenery of the city overlooking Marina bay and merlion. ..",,,
,,Worst of money,2,,The views seen up from here can be seen from anywhere and hence don鈥檛 see a profit in wasting 30 dollar per person . Actually it鈥檚 going in loss and the Govt might soon close thsi attraction as no one pays to go up there except few tourist,,,
,,Fantastic View,5,,Visited on a Friday evening & it was pretty quiet - no queue so a fast route through- carriage was pretty empty but imagine during peak times there will be twice as many people in !! Great to give an overall view of the city & get ones bearings - pretty reasonably priced at $33 per adult- last about 30 minutes- its a must do on a visit to Singapore,,,
,,For the Best views of Singapore,5,,"This attraction is easy to get to and, like the ones in London and Melbourne, offer a great ride and excellent views of the surroundings. The ride is 30 minutes and when we went there, not too overcrowded.",,,
,,Singapore visit,5,,The two days I spent in Singapore were totally worth it! The Flyer viewed from the bridge at night is a site to behold!,,,
,,Great View,5,,"The Singapore Flyer is like the London Eye its a large wheel with air conditioned gondalas. The flyer costs about $33sgd for the basic ride which takes about 40 mins. It is well worth doing either by day or night, during the day you get to look around the city and the ships anchored in the south china sea waiting to come into port. At night you have a great view of the city and the river all lit up which makes for some good photo opportunities.

If you are a F1 motor racing follower you will see part of the circuit leading into the pit lane. You ca also walk a small part of the track entering the pit lane and walking down as far as the start / Fininsh line.

Well worth a visit.",,,
,,Singapore Flyer,4,,"My kids enjoyed Singapore Flyer. A must try activity when visiting Singapore, enjoy the spectacular view of Singapore at night.",,,
,,We really enjoyed,5,,We really enjoyed our experience more than we expected since the place also held the toy story 4 event for children. There was a short lively performance.,,,
,,Best view,4,,"Best view from the Singapore Flyer. Gardens by the Bay are amazing.Good experience, good service. I will back.",,,
