id,uid,title,score,date,content
,,The quay area is getting seedy and overpricef,3.0,,Many restaurants are selling poor over priced food and although convenient that's very disappointing.Good views aren't enough it's Singapore.I expect food better than home.In four days there wasn't one restaurant Id recommend for breakfast or dinner in this area.
,,S'pore river,5.0,,I love the memories of Singapore River. In poly days I used to go here to check out the scenery. I like the ambience. One can even bring a book or novel to read or write in this place.
,,Evening Walk along Singapore River,5.0,,"Excellent setting and build up. With breezy air, it form an excellent walk for us last evening. Great place for both Singaporean and foreigners actually. But do be careful of people on E-scoters....Can be dangerous. Government ought to do some setting around this aspect."
,,Quays By the Singapore River,5.0,,"No where in the world will one find 3 quays linkage by the river. From Robertson quay to Clarke quay to Boat quay. F&B, Pubs, Retail outlets and etc. lining on both sides of the river. Not to be missed!"
,,Spectacular area to stay for young adults,5.0,,"I am a solo female traveller and I stayed in a hotel about 5 minutes walk from Clarke Quay. I LOVED this area - and if/when I return to Singapore I will stay here again. The restaurants are exceptional and range from every price and cuisine. The nightlife is spectacular, for the chill patio beer and also for the high energy club. It's a beautiful walk through the area, I did it at all hours of the day for a week straight as I walked from my hotel to subway stations. There is a conveniently close mall for whatever you need. Robertson Quay has a cute center with beautiful architecture and lights - I went to a late night spa there and had a really great / much needed foot massage before walking back to Clarke Quay and eating gnocchi on the waterfront with a glass of wine."
,,Night river cruise,5.0,,We did the night river cruise which includes the light show in front of Marina Bay [ boat stops/cruises] for show. Some may consider this a bit expensive but we thoroughly enjoyed the experience of the city and river lights
,,Lovely stroll,4.0,,"We did a beautiful river walk from Orchard road to Marina Bay Sands. The walk is flat, clean and safe and brings you along the business district and offers plenty of restaurants. The river has many beautiful angles to capture Singapore’s impressive skyline."
,,Amazing views of Singapore,5.0,,We took a boat cruise from Clarke Quay at night and the lights of all the buildings and bridges were beautifull and we took way too many photos. This cruise took us into Marina Bay area so we could watch the laser light and water show in front of the Marina bay Sands Hotel. Two shows per night and a really different way to experience this event from the water and so close to all the action
,,The best way to enjoy the River...,5.0,,But go in the evening to see everything at its best. Be prepared for huge crowds too though the boats are frequent! Fabulous light shows across the bridges and hotels.
,,It's OK,3.0,,"Walked along it at day time, and it had your usual slate of tourist traps, overpriced food and opportunities for libations. Seemed safe enough; might be a different and better experience when the sun sets."
,,The Best Place in Singapore,5.0,,"The Singapore river, is truly a sight to behold. I like the nightlife and entertainment around the area, as well as the rich heritage that follows. The museums and buildings store rich history inside, and it was a wonderful time going there."
,,River Cruise,4.0,,We went on a river cruise from Clarke Quay in the evening and it was lovely to see the city light up at night whilst leisurely travelling along the river. Highy recommended.
,,Great way to see Marina Bay,5.0,,"We have done the boat trip during the day and at night. The night time experience is stunning as it includes lasers and coloured light show which lights up the bay, this happens every evening. Well worth it."
,,Singapore River cruise,4.0,,"This was enjoyable but I recommend this cruise be done in the evening. It is the lights from the city that make the trip interesting. It is not long but also not too expensive, you can get family tickets."
,,Must see- hangout,5.0,,"The river is worth a boat ttour both at day and night. You will see the historic district, former warehouses and a lot of restaurants and bars along Clak Quay and the Riverwalk. The latter is more peaceful and romantic. At night You have a wonderfully illuminated skyline including the voew of Marina Bay Sands Hotel. At Night You have a lot of reflections of the lights on the river which makes it look sparkling. Great place for a nightcap,"
,,A river cruise is the best way to see all the sights!,5.0,,"We took the MRT to Clarke Quay, and then bought a river cruise leaving just before dark. The bridges, buildings and sights are all illuminated and just stunning. If you are short on time, this is a fantastic way to see the skyline, Merlion, Marina Sands hotel and the Singapore Flyer in less than an hour. We thoroughly enjoyed this that our fantastic taxi driver recommended."
,,A beautiful Vista,5.0,,"We were staying away from the rover (a small mistake on ur part) but a walk along the banks was great. There is plenty of food, shopping and reaonsably well priced cruises....well worth a look."
,,Great place to eat and drink.,4.0,,A lovely river in the centre of Singapore. We were staying at Clarke quay and were a couple of mins walk from the river. The river is clean and if you are lucky you may see otters swimming .It is worth going on a river boat trip. These last about 45 mins and we took one in the evening. Great way to see the area all lit up.
,,At Night,4.0,,"Wow the river takes on another life at night. This is a must see at night. Heaps of people. Easy walking or catch a bum boat,plenty of restaurants along banks."
,,night life,5.0,,we love walking through the numerous restaurants and watering holes. there may be a bit of touting by some of the restaurant staff but overall the place is pretty charming.
,,Pleaasant,4.0,,The cruise on the Singpore River allows one to see the city from another view point. We found it relaxing and of interest.
,,Different,4.0,,"Excellent place for an evening stroll , but the humidity can get to you. Plenty to see and do The drinks on the harbour are extortionate £10 a pint but so is most of Singapore"
,,cleanest river I have seen,5.0,,I thought the Russian River in wine country was clean but its a small stream. The Singapore River is clean and lots of stuff to do. They take pride in presentation so there were barges and people cleaning an already clean river each day. Wow.
,,awsome experience,5.0,,"the view and facilities are outstanding, there we can experience boating and there are lots of bar in Clarke, that is also the main attraction the place"
,,nice walk,4.0,,I came here in the night to have a relaxing walk. There was not so many people here and the internet coverage was good
,,Relax environment,4.0,,"Cannot be missed place in Singapore. We were walking from hotel to Clarke Quay, in between the journey we spend time to enjoy the light show. Throughout the walking distance, there are many restaurant and entertainments, someone play their music waiting for the light show. The night in the riverside is amazing, we can see the Fullerton hotel and the Merlion. Singapore is so beautiful, feel all the people are enjoying their life, I am so envy."
,,A Friday Night Place to be seen.,4.0,,"There is a number of bars along the river that is already open at noon time serving most known alcohol, spirits, wine and mixed concoctions. The list of the Bar Chow that are being offered to patrons is very extensive and can be indulged in as long as one can afford the prices listed on the menu. By sunset, a cacophony of sounds blared as darkness covers the skyline of Singapore and will be later illuminated by different lights and lasers flickering to the beat of different sounds played by different djs of the establishments along the river. This should be included in every one's itinerary in Singapore."
,,Good to experience,3.0,,It took about 30 minutes to cruise from 1 end to the other. Passing thru restaurants alongside the river. Enjoying all the skyscrapers view. That's all you do.
,,April,5.0,,"My partner and I visited while on a road trip in Malaysia. Singapore river, beautiful day and night. Stunning buildings. Fantastic chances all the way for food and drinks."
,,a river of restaurants,5.0,,The amount of restaurants alongside the river Singapore makes difficult to chose one of them. Although it is for sure that the chosen one will be good.
,,Great views of Singapore from the river,4.0,,A very enjoyable 40 min bumboat ride s$25 each along the river to see the city sights from river level
,,Worth a visit for night life,4.0,,We have eaten at several restaurants at Clarke over the past the past few years. Always good quality and reasonable price.
,,A great place to walk,5.0,,"The river walk is fun - lots go see, plenty of places to eat and drink. Stunning views. Do both sides of the river. The cruise is also a must - day or night."
,,Great for a walk or river trip,4.0,,We did a walk along the promenade taking in the lovely river views. There are also one hour river cruises readily available for 25 Singapore dollars for adults. The Merlion was covered over for restoration work during our visit but we did enjoy seeing the sculpures along the river walk including those of boys jumping into the water. Great views of an evening from the riverside by One Fullerton to see the nightly fountains and laser lights show.
,,great view of lights,5.0,,Pick up cheap cocktails and dinner then jump on a boat and cruise the harbor. informative commentary on the boats and great selection of food available at Clarke Quay.
,,Great location for a wander,5.0,,"Terrific location for a wander around checking out the sculptures, architecture and river. Lots going on. many options to eat and drink. Lots to photograph and enjoy. We enjoyed a long walk and look around then settled down for a meal. Safe and clean."
,,lovely to walk around by day or night,5.0,,"Lots to see or just sit and watch the world go by in one of the many cafes/restaurants along the way. Sitting by the river after dark allows to you take in the nightlife and be amazed with all the lights. Pop in and out of the shops for a look as you walk, or just to get a blast of air conditioning before you continue your walk in the heat of Singapore."
,,Nice city waterway,5.0,,Went for a walk around this river for around an hour and enjoyed the vistas and different neighborhoods. Worth a look.
,,The views from the river are exceptional. A great way to see central Singapore.,5.0,,The river is a great way to experience one part of what Singapore is about. We travelled on a Bum Bum Boat and it was so enjoyable. I have never been on a river where it is as warm as walking about!
,,A must do for all tourists,5.0,,Singapore river cruises has been in operation since 1987 and is one of the worlds first eco friendly rides. The cruise itself is about 30 to 40ish mins and it takes you through the singapore river. Best visited during the afternoon. Its a full on history lesson. You will get to know how the merlion came into exsistance and how the sleepy little fishing village became a world renowned icon. A traquil and mesmerizing adventure. Would highly recommend this to everyone.
,,clean and safe...just great,5.0,,"a great place to explore, very clean and safe. it transforms into a kaleidoscope of colours at a night with lots to see do and eat...yum"
,,Great trip around the waterways,4.0,,Using electric boats to reduce pollution in the drinking water (because it's the country's reservoir no less!) we glided through the water and had all the focal points showed to us along the way. Nice trip and very smooth both onboard and the whole operation. Well worth it
,,Night lights,4.0,,Was a good way to orientate Singapore from the river. Is very busy between 6 p.m and 7.30 p.m but was well organised so the wait was relatively short Great view of the lghts
,,Excellent for Glittering Singapore City view,5.0,,"Went there evening time ,We can view Singapore from River..From Clarke quay to Marina Bay ,lots to see in both side of river."
,,Excellent Panorama,4.0,,"Great way to see the city on a very hot day. Very informative, historical tour with numerous sites to view and visit. Merlin was a highlight and getting off at the marina bay hotel was a real treat."
,,A great way to avoid the hustle & bustle,5.0,,"Now that the river has been dammed it is now apparently a fresh water ""reservoir"" so the boats are very quiet electric powered, only in SIN. Great views of the bridges, architecture & some sculptures which the boatman was only too willing to ensure you got the best shots."
,,Great walk!,5.0,,"Take your time, all three quays are worth walking. Robertson Quay has higher end restaurants. Clark Quay and Boat Quay have the boat tours. Lots of variety in restaurants and competition with happy hours. They are beautiful at night with all the lights."
,,Loved the vibrant night seen at Boat Quay,5.0,,"A short Grab ride from our hotel on Middle Rd, we had dinner along Boat Quay. There are many restaurants to choose from including Italian, Mexican, Singaporean and Western cuisines. There was both indoor and outdoor seating, we chose to sit outdoors as it had cooled off and was quite pleasant outside. We had a view of the Fullerton Hotel in the distance with the river in the foreground."
,,Cruise Down Singapore River!,5.0,,Excellent journey to be mesmerize by the beautiful skyline under s starey night or a cosy cool rider after a romantic dinner!
,,Ideal,4.0,,"A great way to view Singapore from the river. Nothing better on a hot day than to either float on the river , or view it from the quays. A recorded information tape is played on the boat to acquaint you with the history of the river and how it has been part of the countries success."
