id,uid,title,score,date,content
,,Awesome temple,4.0,,"After few years we went there again and it’s amazing. Full of life, spirit, colors and smell of India. The is only once to say: Incredible India! Definitely a must in Singapore."
,,A small but very beautiful temple.,4.0,,"Sri Veeramakaliamman Temple, a Hindu temple located in the center of the region Small India.
Temple is dedicated to the Hindu goddess Kali, the cruel incarnation of Shakti and the wife of the god Shiva, Parvati. Sri Veeramakaliamman Temple was built in 1881. The temple was built in the South Indian Tamil style, common in the Indian state of Tamil Nadu.
In the temple stands a statue of the goddess Kali with a variety of arms and legs, and in each she holds military weapons. In the main altar there is a black statue of Kali with sons on both sides, the elephant headed Ganesha and Skanda, the baby god, riding a peacock.
Inside the temple is forbidden to take pictures."
,,Fascinating glimpse into the culture,5.0,,"Little India neighborhood highlight is Sri Veeramakaliamman Temple, with many fantastically detailed statues of not gods, exactly, but something like patron saints representing various hoped-for outcomes. Priests prepare heated oils before each of the statues, and people hoping for help from that patron have their foreheads anointed. Stopping by the temple is just a routine part of daily life, something you might do on the way to work or the grocery store. Fascinating glimpse into the culture."
,,Popular Hindu temple,4.0,,"This colourful Hindu temple is really popular and actually quite crowded when I visited. The location is good, a ten minute walk from Mustafa Centre and just across the road from many Indian restaurants and also a short walk from Bukit TImah road so quite close to Sim Lim Square one of Singapore's most famous computer and mobile phone electronic centres.

As with all Indian temples you need to leave your shoes outside and fortunately there are lots and lots of shelving to place your shoes. The entrance of the temple has two very large wooden doors with big metal studs all over it. The grounds of the temple are not that large but with many colourful statues and you will see lots of people praying here.The temple is quite abuzz with activity and you are freely allowed to wander around inside taking photos.

I actually have found that many Hindu temples are really big but this one is a good size for tourists such as myself to visit and therefore quite busy and certainly a good example of a beautiful Hindu temple. It is well worth the visit when in Little India."
,,Quite a place,4.0,,"Temple, marketplace, meeting place, bazaar. Very colorful with beautiful figures and statues. People selling food and merchandise. Interesting statues of gods and goddesses."
,,Ein the Little India,5.0,,This Hindu Temple than the biggest temple in Chinatown. The temple gate is smaller too but not less magnificent. The temple is situated in Little India.
,,Beautiful Hindu temple,5.0,,The main Hindu temple in Singapore. It is living place with a lot of locals as well as tourists. Friendly staff.
,,Hindu temple worth a look,4.0,,"Colorful and interesting Hindu Temple. They close for lunch and reopen at 4 PM. Neighborhood around has many, many shops"
,,Colorful Temple in Little India,4.0,,"Nice looking Temple from the street. Unfortunately, it was closed while we were there. Very colorful and beautiful place."
,,interesting,4.0,,"Very colourful and interesting to see the holy men wandering around. They have a real aura about them. Area to leave shoes was burning hot; artificial grass has been laid, which really wasn't a good choice."
,,Beautiful Temple,5.0,,"Sri Veeramakaliamman Temple is a Hindu temple located in the middle of Little India in the southern part of Singapore. The Sri Veeramakaliamman Temple is the busiest and oldest temple in singaphore.Moreover,it is small temple.dedicated to the Hindu goddess Kali, fierce embodiment of Shakti and the god Shiva's wife, Parvati.

."
,,Colorful,4.0,,"Sri Veeramakaliamman Temple is little India's busiest and oldest temple. The temple was built in 1881 and was renovated in 1999 and again in 2014. The temple is dedicated to the Hindu goddess Kali which is popular in Bengal, the birthplace of the laborers who built the temple. You can enter the temple and enjoy its colorful statues and the beautiful detail of the architecture. It is free to visit and be sure to take your shoes off before entering the temple."
,,Beautiful,5.0,,This is a site not to be missed .Really colourful. Its a small temple. You must remove your shoes before entering. Lots of neat statues inside and out.
,,Beautiful colourful tempke,5.0,,"Tucked away amongst the high rises and modern buildings is this fabulous little temple.
Beautiful and colourful, the craftsmanship in it is amazing
Remember to dress modestly (shoulders covered, no crop tops) there are long skirts and shawls you can borrow to cover up.
Remove footwear before entering"
,,Colorful temple for Indian prayers,3.0,,"This was the first time that I attended some temple wirh Indian culture. I liked colors a lot. It was possible to see different people worshiping the god differently, which was interesting for me. Worth of seing if you haven't had a change to experience something like that before."
,,Nice temple in Little India Town,4.0,,"It is hard to miss this temple in Little India Town, very colorful and intricately created. Well worthy of a photograph!"
,,PLENTY OF COLOUR AND CULTURE !,4.0,,"Sri Veeramakaliamman Temple is at the heart of Little India. It is in every respect a fascinating temple with plenty of character, detail and history. Indian culture forms a major slice of Singaporean history and it is vividly on display in the near by streets."
,,Over 135 years old traditional Hindu temple of Goddess Kali and Parvati !!!,4.0,,"Sri Veeramakaliamman temple is a nice Hindu temple located in the middle of Little India in Singapore.

The temple is dedicated to hindu goddess Kali who is known as the fierce embodiment of Shakti and the god Shiva's wife, Parvati. Kali has always been popular in Bengal, the birthplace of the labourers who built this temple in 1881. There are images of Kali inside the temple showing her wearing a garland of skulls and ripping out the insides of her victims. There are also depictions of Goddess Parvati sharing peaceful family moments with her sons Ganesha and Murugan.

The building is constructed in the South Indian Tamil style as against the style of Northeastern Indian Kali temples in Bengal.

Its conveniently located on the main Serangoon road. Can visist for a quick visit to pray to the Goddess !!!"
,,Colourful landmark in Little India,4.0,,"One of the noteworthing landmarks on the Heritage Trail in Little India is Sri Veeramakaliamman Temple located at 141 Serangoon Road, it is one of the city's oldest Hindu temples. The temple was built in 1881 dedicated to the goddess and destroyer of evil, Kali or Sri Veeramakaliamman. The building over time has received major renovations, it is so colourful and ornate, the roof is covered in statues. The interior can be visited being respectful not to visit during a religious service, remove your shoes and not sit on the steps."
,,conveniently located,5.0,,"The temple is very huge and conveniently located on the main road. Recently refurbished, it is very well-maintained. Must visit for those who wish to get a glimpse of the Indian culture and religious practises in Singapore."
,,Nice Temple,3.0,,It is right next door to the Hilton Garden Inn we were staying at. It is a nice temple with multiple South Indian deities. Seems to be popular with locals.
,,Interesting little temple,4.0,,"It has a gopuram, just not as tall and grand as the one at Sri Srinivasa Perumal Temple. It has many colorful figurines and statues, just not as plentiful and diverse as the ones at Sri Vadapathira Kaliamman Temple. But they are all conveniently packed in this relatively small temple just a few blocks from Tekka Centre. It is worth a visit just for that unique photo op."
,,A Great Cultural Temple,5.0,,A fantastic cultural experience with very interesting designs. Tourists around but also Hindu’s who are happy to talk. Reccomended.
,,Hindu temple in heart of little India,4.0,,"This beautiful Hindu temple is about a 10-15 min walk from little India train station. The outside of it is especially beautiful with the colours and carvings of the gods surrounding the entrance.
As it is a very big tourist attraction the shoe station at the front along with lots of western signage takes away from the awe of this place but it is still worth the visit.
Make sure you remember to take your shoes off before entering.
Upon entering it is even more beautiful with all the stations located throughout the temple of the gods and the architecture is stunning.
I almost felt like I shouldn’t be inside viewing as there was people praying in parts of the temple however they all smiled and waved which made us feel at ease."
,,Hindu Temple with Tourists all around,4.0,,When you visit this temple you may wonder if this is a temple or a tourist spot. Very interesting you see lot of Indians busy praying while lot of tourist snapping pictures. If you happen to go in the evening its even more festive and crowded.
,,Ornate Temple,4.0,,"Our walking tour included a visit to this temple and you are welcome to visit provided you wear modest attire and leave your footwear outside in the racks. It is one of Singapore's oldest Hindu Temples, dedicated to the goddess Kali, the Destroyer of Evil. You enter under the Rajagopuram, a tower of colourful painted deities and inside, marvel at the various statues of Hindu Gods and intricates designs of the ornate sculptures. Absolutely worth a visit when in Little india."
,,Amazing..,4.0,,"Being the period of Navratri, many visitors were seen in the temple.
Photographer is allowed inside unlike South Indian temples.
They have clean rest rooms too.
A man was seen distributing tamarind rice prasad in substantial quantity to all which was as good as feeding dinner.
Felt blessed.
Ganesh J"
,,Awesome,4.0,,"The Sri Veeramakaliamman Temple on Serangoon Road in Little India is an awesome temple.

The temple was quite busy with worshippers at the time of my visit. i was amazed by the ornate sculptures on display. There was a strong smell of burning incense.

This is a place of worship, and you need to take your shoes off when you enter the temple.

It is reputed to be one of the oldest temples in Singapore. It is beautifully decorated with statues of Hindu Gods. I guess most had a coating of gold coloured paint.

The priests were saying prayers and then sprinkling the worshippers with holy water.

This temple is worth a visit."
,,One Incredible piece of Architecture,4.0,,"If you visit Little India in Singapore(which is a must), you should find some time to visit this beautiful and always busy temple. As is expected, leave your shoes at the door and pay your respects. I have been here 3 times and it is always full of people, no matter the time of day or night. It is a great experience (even if you are a non-believer)"
,,amazing gopuram (roof),5.0,,"This is one of Singapore's oldest temples, built in the Dravidian style by early migrants. The sculptures at this temple are really amazing. Amazing, too, is the friendly welcome from the priests and parishioners. When you consider that they host, probably, 100+ visitors a day but they remain pleasant. Just meet them half way and take off your shoes and socks and try to be inobtrusive. I was there during prayers in the afternoon and stood in the back, near the door, with a shawl over my shoulders, just enjoying the music, chats, etc. They even blew a conch shell. As things progressed, a priest sprinkled parishioners near the main altar with holy water. Then he moved along among people in the middle of the room, sprinkling more and more people. Then he spotted me at the very back and detoured over to sprinkle me, too. How friendly and welcoming is that!"
,,Decorated Temple,4.0,,It's a higly decorated temple with many paintings and statues of Hindu dieties. I had the chance to visit the temple during a ceremony and they had no problems with that. Just don't forget to remove your shoes.
,,Interesting and serene,5.0,,Outside you are amazed by the ornate decoration of depicted deities. Very colorful and unique. Beforw you go inside you need to wash your feet (if dirty) and remove shoes as you walk through the temple. You will notice some people offering their respects.
,,Great place to visit,5.0,,one of the must in SG. nice to see all culture and traditional activities in the temple. to see the faith of people.
,,"Great Temple, Good To Visit",5.0,,"A great temple with lots of history. Would not advise to go on weekends as it gets very busy. We went on a weekday afternoon about 4:30, there were people there but not hectic. Nice to be left alone to walk about and nice that tourists are treated the same as everyone else."
,,Take blessings,4.0,,The temple is a beautiful quiet place. We came around the aarti time. It is nice to see them keeping the traditions alive. All in all a beautiful experience to take blessings of Maa.
,,Peaceful visit,5.0,,"The Sri Veeramakaliamman Temple is quite famous and popular amongst the local Hidu residents. The temple is quite busy over the weekend and on festival days. You will surely love the intricate designs made on the front facade of the temple, which are symbolic to Southern India."
,,SRI VEERAMAKALIAMMAN TEMPLE,5.0,,"Another lovely Hindu Temple, full of vibrant coloured idols.Again lucky to see the Hindu Ceremony. Would like to now way the devotes ring the bells that hang from the entrance door as they enter."
,,Beautiful Mandir,5.0,,The mandir was colourful and ha beautiful architecture. It is in the middle of the area. Took lots of great photos.
,,"Highly decorated, very calm and peaceful",4.0,,"This is a small temple in the heart of little India, the decorative interior is beautiful, highly ornate and I am guessing you would see something different every time you visited. Lovely peaceful vibe, if only this could be resonated all over the world eh?"
,,Makes you feel like you’re in India,4.0,,"Located on Serangoon Road, a few minutes walk from the Little India MRT station. This impressive Hindu temple is open between 5am to 12pm & 4pm to 9pm and free to all visitors.
southern part of Singapore. As with most Hindu temples you will need to take off your shoes (leaving them at the entrance), take off any hats and cover bare shoulders and legs (there are wraps available to use at the entrance).

The temple, built in 1881, is one of the oldest in the City and is dedicated to the Hindu goddess Kali. Images of Kali throughout the temple show her wearing a garland of skulls and ripping out the insides of her victims but are counter balanced with motherly images of her with her sons; Ganesha and Murugan.

As i visited on a Sunday it was crowded, noisy, colourful and vibrant all of which I’ve learnt to expect after visiting many Hindu temples in India. If you’ve never been to a Hindu temple then this is an experience that is worth trying."
,,Unique,4.0,,this kuil so unique.. free entrance fee and we have to remove the shoes.. inside there is like donation (but not sure what is).. so much statues inside and we can see how they pray..
,,Little India - Kovil,4.0,,Remember to bring shoes to slip on and off (you need to remove your shoes before entering) and women need to wear clothing to cover their legs. They can provide skirts for you to wear but it may be easier to plan in advance in case you feel embarrassed at being asked to cover.
,,Beautiful Hindu Temple!,5.0,,"This temple is set in the Little India part of Singapore and is a much loved and much used temple. We were provided with the necessary clothes to cover up, free of charge and removed our shoes. The temple was very busy with worshippers and there were lots of different shrines (hope this is the right term). It was hard to know where to look as there was so much to take in and so many beautiful statues and artefacts. It's one of those places that it's hard to describe for the sheer beauty - very worth the visit to get a flavour of the local culture."
,,Amazing look into Hindu temple,5.0,,You may go inside they welcome guests as long as you take your shoes off. Once inside you will be over come by the colors and statues. This place is beautiful. We had a guide with us who could tell us what we were seeing. Great experience and free too!! Three or four steps not really wheelchair accessible.
,,Interesting details,4.0,,"Very colorful and the details on the roof are outstanding. It's not as interesting from inside so if you are in a hurry, just skip going inside."
,,Temple in Little India,3.0,,"Dedicated to Kali, here is the most interesting entrance door with many figures. To get inside you have to leave your shoes outside."
,,Amazing carvings,5.0,,"Perhaps because it was Deepavali/Diwali and the place was really bustling, or may be because we had already visited some the temples, but the Sri Veeramakalimman was the temple I enjoyed the most. After looking at photos online it appears a little underwhelming when you first see it, but pause for a while and take in the intricate carvings of Hindu gods - they’re all over the temple, inside and out.

Visitors are asked to behave respectfully, go barefoot, and cover shoulders and knees - there are shawls and clothing to borrow if you need them.

The whole area of shops in Little India leading to the temple is also well worth exploring."
,,Full of Energy,5.0,,As we made our way to Bugis after shopping in the Mustafa Centre we came to this temple and as is the custom we removed our sandals and ventured inside. There is a constant energy from the priests as prayers are said and gifts presented. Some magnificent shrines and well worth the visit.
,,Spectacular temple,5.0,,"This is a must-see in Little India, a temple covered in the most amazing carving and figurines. It is an important temple and shrine not a tourist attraction so discretion is needed when entering. Shoes and socks must be removed and feet can be washed in the outside sink area. Women must cover shoulders and knees so make sure you have a wrap with you and wear a longer skirt or trousers. They will lend you clothing if you are not suitably attired.
We watched a line of worshippers being tended by a temple official ( sorry don't know the correct term for them!) and also saw (and nearly felt) a man smashing a coconut into a pit to bring relief from illness. Very educational."
,,Beautiful carvings,4.0,,Amazing temple in little india (be careful as there is another with a similar name we went to by accident!) The carvings are amazing and truly unique. Great place to visit and have some quiet time.
,,Beautiful temple in Little India,5.0,,This is a beautiful temple in Little India and we removed our shoes and had a look around as our timing was good. Not always accessible. Worth a look.
,,You can't miss this temple,5.0,,"This is a site you can't miss in little India,the outside is beautifully carved with an array of different gods in spectacular colours,no charge if you want to enter but tourists can be restricted during Hindu holidays"
,,Cool and well preserved temple,5.0,,"I love the colours, space, in order to the respect the temple you should take off your shoes and cover your body, loved it."
,,Gem at Little India,4.0,,This is a very nicely done temple in Little India. We went to see the architecture which did not disappoint. The roof is simple amazing and must be seen to be appreciated. The art and sculpture is so detailed and intricate - you have to study it for awhile in order to see all of the unique aspects. A must see if you are in Little India.
,,peace and real prayer feeling.,5.0,,its in indian town walking distance from mustafa but seriously taken care very well. nice to have darshan here.
,,Temple in heart of Little India,4.0,,This legendary temple is in heart of Little India at Serangoon Road. Very beautiful architecture and is always crowded with people.
,,The oldest and most beautiful temple in Singapore,4.0,,"This is first and foremost a place of Hindu worship so visitors should be aware that respect should be given at all times while visiting. All foot coverings need to be removed at the front door, and you must dress appropriately to enter. Inside the smell of incense is almost overwhelming, but you know that this is in keeping with the religious rites being performed and observed inside. There are various stations within the temple where praise for the particular God is being performed. Each station is beautifully presented with rich colours, gold, silver and platinum adornments. Outside the temple is the most amazing display of colour and statues festooned across the roof. Worth a visit and spending time in quiet contemplation."
,,An amazing Experience,4.0,,We loved walking around this temple and didn't manage to make it to many others while in Singapore. If you want a map of the temples then find them placed at the entrance of every temple.
