id,uid,title,score,date,content
,,One of Singapore's finest shopping mall experiences,5.0,,Suntec City is one of my favorite shopping malls in Singapore. Its a huge complex with a great variation in shops from known to upscale brands. It also houses several foodcourts including FoodRepublic.
,,Great experience at Suntec City Singapore,5.0,,I was on an official visit to Singapore and our offices are at Suntec City. The food court in Suntec City is really wonderful with a wide range. Shops are also cool. Working ambience at our office was ideal. Overall a good experience.
,,Motorcycle Unfriendly.,1.0,,"Be warned. Suntec slaps S$100+ fines on any bike parked in open unmarked/unwarned area. Even if it doesn’t have double yellow lines and other bikes are parked there already. If you can’t find a proper spot, best to just leave and find another more motorcycle-friendly mall."
,,Shopping complex,5.0,,"It includes a shopping mall , exhibition centre and office tower blocks. Regularly fair is being held here."
,,Good mall where u get good quality products in affordable prices,5.0,,Lot of places to eat and such a nice mall you can easily spend two hours just by looking at different shops
,,Lower end mall,4.0,,Stopped in here after putting my family on the duck boat. It's different than Raffles as it has more fast fashion and lower priced stores; still had some nice stuff though. If you are lodging in the area worth a pop in for the food court and some browsing.
,,Large and Mass market,3.0,,"This mall was spruced up a few years so it looks newer, but not more luxurious. Basically a mass market or family mall"
,,A very big mall,5.0,,"The mall is connected to the convention centre where periodically, there will be events like the IT show, travel show, etc. Many restaurants catering to many different cuisines on offer here. A great mall to spend at least half a day."
,,Large Shopping Mall & Convention Center,4.0,,"It has been years since I last visited Suntec City Mall and the place has been extensively renovated and looks very nice. The top floor of the mall is the Exhibition and Convention Center and below is the shopping mall.

The place is pretty big and quite long. There is an area called Japan Food Street with several Japanese restaurants as well as a local food court called Kopitiam which is where we decided to have our lunch and which was in fact really delicious. We chose a place called Curry Mixed Rice just beside the entrance that had constant long queues so we knew the food would be good, and it was super delicious and cheap and probably a good reason to eat here again.

The mall has normal priced stores but we did enjoy the Tokyu Hands store which we always visit in Japan. They had so many nice products that we almost bought, but later managed to find similar items at cheaper prices elsewhere.

This is a good shopping mall, but then in Singapore there are so many nice malls and many of them are better located."
,,Start discovering,4.0,,"A good place to start your holiday in Singapore as it not only has several towers full of amazing shops but it has the travel tour centre on ground floor to check out where you can go on day tours, boat rides, duck tours , hop-on/off bus rides etc. There is an exhibition centre to visit with various exhibits through the year, many food outlets and Fountain of Wealth in basement."
,,Lots of shops & good food court,4.0,,"We first visited Suntec Mall to pick up the Big Bus tour two day pass. We decided to explore the Mall and found a great range of shops and many food outlets in the food court. We ate at the food court a couple of times and despite it always being busy, table turnover was fast and the food selection and quality from the many outlets was delicious and good value for money. The mall was nice and clean and had good toilet facilities."
,,"The fountain is great to see, ideally via the shops and restaurants beneath",4.0,,"Very nice shopping area, full of cosy restaurants. The buildings are connected underground, making it easy to move around."
,,Huge shopping mall,4.0,,"This is a huge mall in the centre of the city & right beside the Fountain of Wealth, it is linked by four towers but can be a brain teaser to navigate, not sure what this one has that differs to the many others in this vast metropolis!"
,,Huge mall I'm the heart of the city,5.0,,"The Suntec City Mall is spread around 4 towers connected via passageways surrounding the famous Fountain Of Wealth. The top floors of the buildings house a lot of offices while there are a lot of hotels around it too and a huge convention center so there is a lot of foot traffic it gets really busy especially during meal times. There are many shops and brands not really high end, you'll find a lot of eating options here many restaurants, stalls and fast food places. We went there to go to the play areas housed inside there are 2 big ones plus some arcades and a few small play areas too. This is a massive mall very easy to get lost here but a fun place to walk around for a few hours."
,,Fun Mall to Wander Around,4.0,,There's a bunch of stores here so you won't get bored at all. There's even two arcades (Arcade Planet and Cow Play Cow Moo) if you wanna try for some prizes. Not to mention the abundance of food choices. It's four malls in one after all (all connected via passageways which is another feature I love about this mall). I think I found a discount store in this mall too which had really cute Sanrio stuff in it! Definitely plan to spend a couple hours wandering this mall.
,,Huge mall,3.0,,Suntec city hall is a huge mall that requires at least 4 hours or more of walking to see the whole place. There are 4 towers which are connected. It can be confusing at times to find your way in the mall. The mall does offer plenty of shops and eateries but it spread out so finding the right place to eat is bit of challenge.
,,Range of facilities is amazing,4.0,,This centre is huge. We met for drinks in one of the bars prior to going to the cinema. Sitting looking at the fountain chatting and watching the world walk by.
,,Lots of shops. Great air conditioning,4.0,,This is a huge shopping centre. All you expected big brand shops are in there. Some good places to eat. But the air con is amazing. Especially if you have just walked around outside
,,A Mall,4.0,,It is a mall. Shops are a good mix so everyone can find at least something. As the partial „city“ already suggests: This mall is huge.
,,Twice in a week,4.0,,"I went twice during my stay in Singapore and I liked this mall a lot.

I was impressed by how big it is and it doesn't look that big from the outside.

They have a huge food court where I got a natural and so tasty sour soup juice and it made me so happy, I didn't have one in years.

Among all the different stores they also have a supermarket and a medical center that I had to visit because I got sick.

I went there the first time by taxi and the second time I used the train, which I loved!"
,,Nice Mall For Most Peoples Needs,4.0,,We went to the Suntec mall a few times to catch the Hippo and Duck Tours. The mall has a nice collection of average priced stores and pharmacies and a really nice foodcourt in the basement (take the escalators down near the Krispy Cream Donuts). It is attached to other shopping centers so just keep track of where you are so you know where to come back too. It also had free wifi.
,,Nice fountain,4.0,,"Can access this mall from city hall using underground walkway. Great mall with loads of shopping options and discounted item sold in forecourts. Has the fountain of wealth which is quite nice to look at and it lit at night but we didnt see it. The burger place with graffiti around walls is awful - chewy burgers dripping in oil - not nice, but loads of other food options available."
,,Suntec City Mall,4.0,,"This mall contexts to our hotel Pan Pacific which made it easy to get food. We walked through the mall. Quite big, has a few branded stores. Was convenient for us."
,,Suntec city,4.0,,A building wonder. They can build anything that the mind things in Singapore. The waterfall is refreshing on a hot humid Singapore day
,,Massive mall with plenty to choose from.,4.0,,"This is one of the most modern malls I have visited. Packed with high end shops, classy restaurants and a large western like supermarket."
,,Cool walking thru worldwide brands 😊!,4.0,,"We took an afternoon to visit this mall, full of different brands and did some nice ! When you buy a shirt they even iron it if you want, what a gentle and exceptional service! The choice of goods is enormous and so worth to visit the multiple stores."
,,Mall,4.0,,"Another huge mall in Singapore. Jam pack with people. Seems like everyone enjoys shopping. Most of the shops are quite ideal to the other malls, but yet it is always full of people. Nice fountain as well"
,,All roads lead to the mall,4.0,,"At least if you want to ride on the large Hop On, Hop Off buses, then all the colored routes merge at this mall. Because we chose to ride these buses to see as much of Singapore during our rather short 3 day stay, we were at this mall several times. It has all the stores you'd ever want to go in plus plenty of others that you don't. I also appreciated the various dining options to small, stands offering one of two options to large, sit down dining. I ate the best steak in my life at this mall. The only reason I didn't give this place 5 stars is because after all, it still is a mall."
,,Musollah available,4.0,,"The only musollah here is the one at tower 3, beside singpost.It is opposite burger king.Telekung and sejadah all provided but must take wudhu at the toilet.I recommend taking at the handicapp toilet because it is easier.

The cleaner is aware of muslims taking wudhu so do not be scared of taking your wudhu in the toilet.There is a also a lower sink to wash your feet."
,,Another huge mall with plenty of options,4.0,,"For a tiny country like Singapore, it definitely has more than its fair share of larger than life malls.

This property comprises of a combination of one of the largest convention center in Singapore, commercial office towers, shopping outlets and many eateries.

It is located near to the popular Marina Bay area and is definitely an option for retail therapy and to feed the hungry pangs."
,,A Large Mall with many offerings....,4.0,,"This Large, diverse, centrally located mall has about 360 shoppes {divided into four (4) ""Zones"")... and is also linked to other malls and hotels--- BUT the ""signage"" could be more helpful. The construction took 5 years to complete and has been operating since 1997. In addition to shoppes selling almost everything, there are many places to eat interesting Eastern/Asian and Western ""food specialities"". There are also many different venues for ""entertainment"". In addition to the shoppes, there is a large ""office complex"" which also houses many Embassies. The Asian themed Architecture also follows ""Feng Shui principals""-- especially the ""Fountain of Wealth"".

I hope that this Review has been helpful."
,,Confusing mall,3.0,,If you are after a larger mall with a confusing array of stores this is for you. You can find better deals at Bugis or other places. Information resources do not give really good directions to stores or shops. I will not come back to Suntec. Too many other choices in Singapore.
,,Great place to visit,5.0,,We arrived here by mistake because our Taxi Driver misunderstood where we needed to be dropped off however our day turned very well because we got to visit another of Singapore's premier Shopping malls this place is awesome and full of quality shops and eating houses
,,Conveniently serving hotels in the marina area,3.0,,"Huge shopping centers with plenty of shops and great variety of food choices. It’s connected to other malls and hotels in the area by foot bridges. The mall doesn’t have proper signage showing the directions of the various hotels in the area thus it’s easy for visitors, who are not familiar with the direction, to get lost."
,,Good place to shop and eat,4.0,,"One of the nicer shopping malls in Singapore. Lots of shops and the food court sells delicious food, inc Chicken Rice and a good variety of juices. Also the hub of the HIPPO tours"
,,Near Hotels,3.0,,"We stayed at Pan Pacific, so this mall is really accessible by foot to every hotels within the area and near MRT stations
It’s huge and it can get very confusing, because one leads to another, you’d really have to pay attention to where you’re going to avoid getting lost.

We only actually went here to buy necessities at Watsons (way cheaper than the ones at the grocery) and to eat at Food Republic

There’s one food stall i would recommend at Food Republic,serves Chinese Cuisine at a very affordable price (sorry since there’s alot to choose from,i decided to eat what looks delicious to me and what i crave)
the food stall is called Chang Cheng Chinese Vegetable Rice.
for S$4-5 you’ll have a sumptuous meal, drinks not included

i also ate a frozen yogurt at Food Republic but that’s S$8 ,can’t really recommend that to budget travelers

BTW,i noticed that all food stalls accepts Credit not just cash and they really hand out receipts even without asking"
,,Very convenient but too large,4.0,,"We were staying at the Pan Pacific next door so this shopping mall became our defacto home base. It is huge, spanning a city block and has three wings based on three different directions. All the major brands are there and also some quirky ones like the anime/manga shop. There are also a lot of dining options from full service restaurants to a pseudo hawker centre. The only real issue is the huge size make navigating a chore and long treks from one end of the mall to the other if you are looking for specific businesses."
,,food and shopping,5.0,,Good place for food and shopping. Can be easily reached by MRT and close to many other important places.
,,Very convinient.,5.0,,Wonderful. Make sure you didn't missed to visit this place once you're in Singapore. Many things that you can do in here.
,,For all ages except those on wheelchairs,3.0,,"Everything was great, for all ages. I minus point on the long wait for the lift which is so far from the escalator. Abled body people chose to use the lifts with elderlies on wheelchair since the escalators are far away. We had to wait at least 15 mins, all trips were full with healthy people, my parents 1 on wheelchair and 1 on walking stick. Will not bring elderly there again."
,,Something for everyone,4.0,,"Compared to other malls around, Suntec City Mall is a just massive. The best thing it is houses a wide range of shops, apart from the usual brands like H&M, Adidas, Espirit, they also have a large numbers of specialty shops offering anything from street fashion to toys to watches. If there is something you need and only time for one mall, it is likely you will find it here.

The mall also houses plenty of F&B outlets, so you will be spoiled for choice and have no problem finding something to suit your budget and taste. On weekdays it can get very crowded during lunch hour due the surroundings office blocks, so do time your meal to either beat or avoid the lunch time rush.

The mall is also served by 2 train lines. So getting there is convenient (there are also plenty to shop and eat along the passage way linking the station to the mall too). Do not recommend driving although there are plenty of lots, the car park is a maze with multiple entrance and corners, and if you ever forget where you park, finding your vehicle could be a challenge.

On a whole, it is a decent mall for a whole family to spend a day."
,,Better know where are you planning to go,3.0,,"The mall is basically connects the four Suntect towers from its basement to level two. There are four wings correspondence to each tower. As the towers are circling the fountain at the middle, walking around the mall will take a long time. If you are to visit certain stores, would be wise to check first in which wing the stores are located to save time and energy. Another trick is to go to the basement level from which moving from each wing would be faster as the circle is smaller. You can go via Promenade and Esplanade MRT to go to this mall."
,,Wide selections,5.0,,Suntec City has something for everyone All sorts of shopping All cuisines for dining A supermarket Many specialty shops Quite a place for discovery and adventure
,,Good night out with a variety of food and shops,5.0,,"Suntec City is a really nice shopping mall, with a ton of food choices, variety of shops and even entertainment outlets. Must visit for those coming down to SG for a shopping spree!"
,,Lots of variety,4.0,,Loads of different stores. Everything you could think of. Very busy on weekends with locals and tourists.
,,Great Complex and base for a variety of tour operators,5.0,,"This is a major complex and designed with a focus on feng shui. It took 5.5 years to build, opening in July 1997. The shopping mall is extensive and has 360 plus outlets. There are also an exhibition and conference centre and office tower blocks, a movie theatre, video arcades, a large hypermarket and electronics outlet. We have visited on a number of occasions since 1997 and while busy, it never seems crowded, perhaps due to its immense area. The retail outlets cater to most tastes and pockets and it always seems that there is a feature sale or promotion. Likewise, the dining outlets cater for those looking to fine dining experiences to the customer looking to just grab a sandwich or burger. It is vast and you do need a sense of direction."
,,Complete & One Of My Favourites,5.0,,"All of Singapore shopping malls are very modern and well-equipped and Suntec City Mall is of no exception. In fact, it is one of my favourite malls. The shops are filled with what you need and you can virtually shop anything here. The food court and a strings of F&B establishments (especially on the top floor) guarantees that you will never grow hungry. Love it and I will definitely visit this mall each time I am here."
,,Expansive shopping,5.0,,This shopping complex has everything you need and more. Due to its sheer size there is a Carrefour hypermarket and a Harvey Norman. There’s a movie theatre and video arcades. Numerous places to eat as well. Two MRT stations are very close by.
,,"Love this shopping mall, great for eating and shopping",5.0,,"This is my favourite shopping mall at Singapore, probably because I have spent most of my shopping time here. I love the H & M store and all the different shops like Esprit and Nautica. I enjoy the frozen yoghurt in the basement part as it is gluten free and the Butcher's Kitchen for a quick and delicious dinner. It's huge so you have to really try not to get lost! The free Wifi is so handy as you are able to keep in touch with each other through Messenger."
,,We go for sake food n arcade,4.0,,"Not as convenient for us, but if you ask.. must say it got teo heng which is likw one of the cheapest ktv in sg, i enjoy their arcade. Jap food over there is good, triedost of the store i cant complaint."
,,Suntec - What an experience,4.0,,"A total must see while in Singapore - so many shops to see, so many different varieties of Food - easy access by Bus/ MRT/Taxi."
,,Spacious Mall,4.0,,"Of all the malls I had visited in Singapore, I enjoyed and liked the Suntec City Mall for its variety and spacious walkways.

It is one of the best malls I have visited anywhere in the world. The staff are very courteous and the type of restaurants and the variety food available at its food court are adorable.

Especially an Italian coffee and snack shop near one of the hallways is worth exloring"
,,Foodie Shopping Centre,4.0,,"We visited Suntec City Mall many times on our visit to Singapore the variety of eateries is really good we ate at a couple of Thai restaurants, the food was so authentic We loved it. Sorry I did not note the names.
The fashion shopping is good also. The location is a fifteen minute walk from Bencoolen it is where the Hop On Hop Off bus starts it’s tours."
,,Transport & Shopping Hub,4.0,,"I’m not sure about the Feng Shui design elements of this very large shopping mall, but I found it difficult to navigate on my couple of visits.

Just about every retail brand that you can think of is represented here and the food offerings are almost as extensive.

Clean, modern and air conditioned, all positives, but I’m not a person happy to just wander shops for endless hours so I soon became bored.

The plus side for me is that it is a significant pubic transport hub, including a number of the hop-on, hop-off buses which operate from the same precinct."
,,Massive mall,4.0,,"This mall is massive, and it is easy to get lost.restaurants everywhere, a lot of Japanese ones. There is a good choice for everyone, high end fashion with prices to march to the more urban variety at reasonable prices are scattered in the various wings of the centre.
To see it all, you need more than 1visit."
,,Excellent food options at fountain basement,5.0,,There is just so much food options around the foundation basement area. Great place for family with young kids. You can never run out of ideas for any occasion. Those who come to Suntec City mall will definitely need to check out the food options at the basement.
,,"Very large shopping centre, great location",4.0,,"Suntec city is a huge shopping centre, but the only one that’s really worth looking at in marina bay. There’s cinemas, most chain stores (hm, etc), and plenty of food outlets."
,,Make a Wish,5.0,,"Come By to Suntec and make a wish before you start for your Shopping spreed at few of the towers.
The Fountain of Wealth. Holding the wealth in the centre of Five Buildings resembles a Palm with Five Fingers.
Fountain was being build by geomancy Master to gather wealth for everyone. Walk one round and make a wish.
There is three timings for visit. Refer to the pictures.
Best time to visit is the morning and afternoon slot.
The evening slot is the most busier time of all due to the lightning effect given.
After that, you may wish to have your meal settled at the mall. From local to international cuisine.
There is also plenty of stores to shop in.
It can take a full day to walk as there is a few Malls link together."
,,Diggersite,5.0,,"My son was super happy! We went to yishun Park for the outdoor diggersite but it was closed on weekday. So we went to suntec instead. They had 2 contruction vehicles, and a fake sand pit. My son loved all of it.
The attendant girl there is very lovely and even helped me charge my phone.
I recommend this place."
,,Spoilt for choice,5.0,,"A great variety of shops, good restaurants, plenty of events and the Fountain of Wealth makes this a great stop, especially as the Duck and Hippo tours start on one side. Loved the frozen yogurt at Galare near the Fountain, a super way to cool off."
,,Quite A Happening Mall,4.0,,This is definitely one of the better malls in Singapore. The mall is quite packed over the weekends and you can virtually get almost everything here. There are many F&B outlets here too. It is also located very near the MRT station (Esplanade) and you can spend quite a lot of time there. Go and have fun.
,,The mall with all,4.0,,"This huge mall has everything from brand name stores to kids’ attractions, restaurants and travel agencies. Location of the famous Duck and Hippo visitor Centre."
,,Spacious with lots of varieties of shops,4.0,,"Has always been a place to go.
Tons of shops from anything and everything you can think of. Lots of food eateries in the 5 towers and lining the fountain itself.
Can easily spend a day here.
Good place for families.
Can be crowded on weekends.
Ample parking."
,,"Shop, Play and Catch A Movie",4.0,,"We visited Suntec city to kill some time on one fine evening during trip to Singapore. We took a stroll across the mall, tried our luck at the Claw machine and other games at the Arcade game center Cow Play Cow and watched a movie at GV Suntec City.

The shopping mall is very big with ample of stores, cafes and restaurants. An excellent place to spend time."
,,So large was overwhelming,3.0,,"We visited here several times as was relatively close to the hotel we were staying at. We are not fans of large shopping malls at the best of times and this was no exception. The displays were beautifully done but there are so many of them. There were not a lot of places to just sit in the centre and not one female clothing shop offered a seat for my husband to sit on whilst I tried on clothes. This was the main reason why I did not buy very much. On a plus side, everywhere was very very clean: Toilets exceptionally so."
,,Large fountain,4.0,,"This mall is connected to the nearby Convention Center and also the Millennia towers office block. Lots of shops and plenty of choices of food outlets. There is a huge water fountain here, which is not to be missed."
,,One of the largest,4.0,,"This is one of the largest shopping mall in Singapore, if Not the largest. You can find everything inside this Malls and many different eateries scattered around the mall. From the Budget conscious to the many expensive restaurants, you can find it all here. There’s a giant super mart located at basement one."
