id,uid,title,score,date,content
,,"Facinating Structure, Especially At Night",4.0,,"This structure is based on the Helix spiral. As built it feels light and open, there are no usual heavy structural members as the helix acts as a truss holding itself up. Only possible negative is that it is an open structure and provides no shade on a hot sunny day.

The lighting at night further enhances the helix effect.

Must visit."
,,Stylish Spiral design,5.0,,"Helix Bridge – unique spiral design, very stylish & trendy. Cool canopies provide shade for pedestrians crossing the bridge. Panoramic views, Marina Bay Sands hotel and Shoppes are at the start of the bridge, linking it across the bay; Singapore Flyer is on the other side. I have gait/walking challenges (stroke), all sightseeing has to be well-researched and not overly taxing; I wear a legbrace. Quite easy walking, bring water & hat, wear comfy shoes if going on long walks in the sun. Come evening - stunning Helix bridge is lit up, with the rest of Marina Bay, is spectacular. Worth visiting."
,,A nice design & easy walk between Flyer & Marina Bay,4.0,,"We enjoyed walking over the Helix Bridge after visiting the Flyer on our way to the Marina Bay Sands. The views of the Marina Bay Sands, ArtScience Museum & Harbour were lovely along the way. Nice to have a cooler, more sheltered path as we explore. Such a cool design."
,,Amazing Bridge,5.0,,What an amazing pedestrian bridge across Marina Bay. There are a number of little lookouts on the bridge where you can stop & take great photographs
,,Romantic walk at night,5.0,,"Overseeing Singapore River at its beauty & glimmering Waters. Also an overview of the business district, Marina Bay Sands hotel, It’s truly romantic!"
,,Good,4.0,,"Nice design where you can enjoy a short walk to the marina bay sands shopping center. Also on the bridge you can enjoy taking pictures of the towers, the bay, and singapore flyer."
,,Nice to see in the evening,5.0,,"During the day it is OK there, but it is much better to see the bridge in the evening with all the lights."
,,Enjoy the Walk,4.0,,"It was underwhelming for me. I expected things to be different, more glass, longer bridge, higher altitude, glass floors, etc. It was good for what it was, a free walking bridge from one part of the bay to the other."
,,Night time walk across to the Bay,5.0,,At night this is lit and makes for a great walk across to bayside where there is a water/light show in the bay at set times during the evening - plenty of air conditioned shopping too until late.
,,Original,4.0,,Worth a good few photos by day or by night. The stainless steel web of the structure is striking (incidentally providing shade from the hot sun) and the lighting at night highlights this unique. Apart from khat this footbridge connects with many of Singapore's tourist attractions..
,,Beautifully designed,4.0,,"This is a wonderful bridge to walk across if you are in the area. We enjoyed taking a stroll over it at night from the Marina Bay Sands side after watching Spectra, the light show. It’s lit up at night which makes for some fun photos."
,,A bridge to believe,5.0,,This is a stunning bridge to look at and walk over. It is a great way to cross the river a promenade along the water walks
,,Night Photoshoot,5.0,,"This was one of my frequent visit during my projects where I needed a background for photoshoots.

The night lights of helix bridge, together with the city lights really beautified my photos greatly. I would highly recommend this place for night walks and also night photoshoot"
,,Long walking bridge,5.0,,"It was my first time to cross the bridge from the side of the Marina Bay Sands. It takes about 5-7 mins I guess for you to get to the other side depending on your pacing. At the end of the bridge, you can buy the famous 1 SGD ice cream but it's 1.20 SGD now. It's a must try!"
,,Cool views from a bridge,4.0,,"Honestly... its a bridge. Beautifully designed, free to walk on, allows you to walk over water and it links to land masses. We did it and so can you. Reasons to do it include: great views specially at night as well as being a good place to stroll. Reasons not to go there: it involves walking."
,,Bridge With a View,5.0,,I walked from the Gardens by the Bay back to the Raffles area and walked across the Helix Bridge. It is a lovely walk. You can see a panoramic view of the city including the Merlion across the water. The bridge has several viewing areas and also some areas of shade as you walk in the Singapore heat. There is also a cool soccer pitch right on the water.
,,A Creative Design at the Bay Area,4.0,,"In Singapore, the bay area is a center of attractions for the visitors. You can enjoy several concrete examples of creative urban design. One of them is the helix bridge connecting the promenade to the shopping mall and hotel+casino area. You can enjoy to walk through the helix bridge in both day and night time."
,,Worth a visit after dark,5.0,,This is a bridge where you can walk and have some amazing views of Marina Bay Sands & Art & science museum. Must visit if you in singapore.
,,Great spot for photos day and night.,5.0,,Great architecture and scenic platform for photos. The bridge is lit up at night and with the MBS in the background makes for iconic shots on your travels
,,night stroll,5.0,,taking a night stroll is a pretty sight to behold. MBS is so beautiful at night. i love walking along this bridge.
,,Lovely and romantic walk!!,4.0,,It is a lovely walk in the night when its well lit. Superb photo opportunities on the bridge. We went on a Saturday evening so it was a tad bit crowded but otherwise it is recommended.
,,What a fascinating piece of architecture,4.0,,I crossed the bridge a number of times during my morning walks and was constantly fascinated by the architecture. I would certainly include this on any walk that I did in that part of Singapore.
,,Pretty cool,4.0,,Perfect for views of the CBD and also across the bay - also a really safe way to get from the Pan Pacific area to the Marina Bay area
,,Great Crossing,4.0,,This brige is a good place to take selfies and to have a look at the surrounding area with the Marina Sands Hotel and the National Library easily seen.
,,Interesting brige,5.0,,Just now realized the name of the bridge and the symbols. We are scientist but just not in the science mode in our trip! DNA double helix symbols as you cross the bridge. Great place for photographs
,,Romantic,5.0,,"Unexpected it is very convenient to walk from the hotel (Pan Pacific hotel), unbelieve it is easy and fast to reach Marina Bay. During the pedestrian, we can picture shoot to the Fullerton hotel on the opposite side and Marina Bay on our front. It is not hot even we walk under the sunshine, comfortable experience in June in Singapore."
,,Amazing place for views,5.0,,Beautiful bridge connecting to the Marina Bay Sands. Walk it during the day or night for exceptional views of the marina area and hotel buildings. At night it is beautifully lit and definitely worth visiting.
,,A beautiful Display of Lights,5.0,,During the day it's just like an average bridge people crossing over some small Ice Cream vendors and people selling chilled water and Sodas. At night it transformes into a sight to be seen with beautiful colorful lights decorating the bridge. This is not a must see but if your in the area kids and adults alike will enjoy the unique design and the bright lights at night.
,,Walk across the bridge at night,5.0,,"The design of the Helix Bridge is impressive but the best time to see it is at night when it is all lit up. Crossing the bridge will bring you to the ArtScience Museum, Marina Bay Sands Hotel and Gardens by the Bay. If you have just visited Gadrens by the Bay at night then consider walking across the bridge round to Merlion Park and getting some truly spectacular views of Marina Bay and the Merlion and Financial District skyscrapers.

We actually visited the bridge during the daytime but I did manage to capture some photos of the bridge lit up at night in red while at Merlion Park."
,,Architecture,5.0,,A brilliant link towards Marina Bay Sands Hotel. The design a highlight. Becomes even more impressive during nighttime.
,,"Nice for a photo,",5.0,,"Can't really say much. its a bridge. its nice to walk on, its also nice for some photos. its unique, and its definitely above other bridges which are just... well... bridges.... this one at least have a bit of design in mind, so yeah. nice job"
,,Looks better at night,5.0,,The bridge looks so much better at night! highly recommend and you guys should look out for the ice cream man selling ice cream and try it!
,,Lovely at night,5.0,,"Walked this bridge on our last night in Singapore, after viewing the water show from the Marina Bay Sands Promenade. Lovely leisurely walk back, bridge itself is very pretty and the views were stunning. Glad to have found it."
,,Great photo spot for any visitor to Singapore- do not miss it when lit up at night!,4.0,,"Definitely worth exploring the Helix Bridge, especially at night with the lights and Marina Bay in the background - picture-perfect!"
,,Crazy,4.0,,We have seen and been on bridges all over the world and this is a wonder. Read the construction description at the end of the bridge to appreciate it completely.
,,Top walk,4.0,,My other half did this walk and enjoyed the bridge and the expensive shopping centre at the other end as i was laid up with a very bad foot
,,Spectacular both in day and at night,4.0,,"During the day, the bridge provides numerous photo opportunities of the Marina Bay Area and in its own right as architecturally its almost an art form. By night, it changes into something more spectacular than just a foot bridge as the lighting adds something else to what is already impressive."
,,"Come for the views, bridge is picturesque too.",5.0,,"Some great views of the city centre and the bay from here. Useful if you'd like to go from The Flyer to Gardens By The Bay or vice versa. It's a very interesting design on itself, and features several handy platforms to have a better view of the surroundings."
,,Wonderful place for photos,5.0,,"The bridge is perfect for photos, regardless during the day or night. During the day, you can see the marina bay sands as well as the singapore skyline. Fantastic for a snap. Meanwhile at night, the bridge comes alive with wonderful colours. Great place for a night stroll after dinner with an ice cream in hand."
,,Fascinating,5.0,,What a stunning bridge and a great viewing point for the Marina Bay Sands. Must walk it both by day and night to appreciate it fully as a functional bridge and a work of art.
,,Engineering Marvel,4.0,,"This is an architecturally interesting pedestrian bridge linking Marina Center with Marina South. While it is beautiful to look at, especially when it is illuminated at night, the engineering that went into building it is the real marvel."
,,The Helix Bridge,4.0,,This is a great place to take a photo from or just move from the Marina Bay Sands over to the Quays area. It sometimes can be very crowded so you just need to be awarel of this.
,,Singapore’s DNA!,4.0,,Based on a strand of DNA this amazing bridge connects the Marina Sands area with South side of the Marina! The beautifully executed engineering has made this Pedestrian bridge an attraction in its own right!
,,A bridge dedicated to Human DNA structure,4.0,,"It is a bridge (not for vehicles) that is constructed in the shape of human DNA spiral. Connects the Singapore Flyer to the Art and Science museum and shaded, so that even in the noon times, one can walk on the bridge."
,,Impressive bridge,5.0,,"The bridge links Marina Bay Sands with the Singapore flyer & is impressive by day but at night is when it comes into its own when it’s lit up, truly beautiful!"
,,Beautiful.,5.0,,"This is really the heart of Singapore. It is from where you can see the Marina hotel, Merlion, river and lots of other great things. The lights are very cool and there are acts and music and food along the way."
,,Super at night,5.0,,We walked the bridge in the daytime when my husband really appreciated the build of this amazing structure but at night was when it was really enjoyable. It was superbly lit and very busy as it links Marina Bay shopping centre with the Singapore Flyer.
,,Great at night and during the day!,5.0,,"The bridge is nice to walk during the day (nice views surrounding the bridge), but also at night when the bridge is nicely illuminated!"
,,Nice walk from Marina Bay across,5.0,,"You can't beat the views from the Helix Bridge. If you're leaving Marina Bay Sands and heading over to a hotel or the Merlion, it provides a lovely walk along the bay."
,,Quirky Bridge,4.0,,A quirky Bridge linking the Arts & Science Museum to the Waterfront Promenade. This Bridge lights up at night and is quite spectacular.
,,More impressive when you’re on it !,5.0,,We had seen this lit up at night and we travelled under it in the boat cruise but it wasn’t until we actually walked across it that you realise how impressive it really is !! Great views and an amazing looking bridge
,,Futuristic bridge,5.0,,"We walked across the bridge during the day, but at night with the multi coloured lights, it was so cool."
,,"A Bridge, with lights",3.0,,Makes a pretty photo but in the end it's a bridge between A and B with some lights wrapped around it to make the walk seem shorter and less boring.
,,Modern Side of Singapore,5.0,,"For someone who has very little time in Singapore, the best place to understand the modern side of the country is to walk The Helix Bridge. The best time to visit is evening time because it can be very hot in the day. From here, you can even see the Merlion from a distance."
,,Great Spot for Pictures,5.0,,"The Helix Bridge is a great way to get to and from Marina Bay Hotel, Shoppes and Gardens. There are two areas on the bridge which are specially designed for photograph taking. It's not a long walk but a pleasant one. At night the structure of the bridge/walkway is lit with an amazing light show that dazzles."
,,Amazing!,5.0,,"Singapore is one designation that truly wowed me, this small country is simply remarkable. The Marina Bay area is clearly a tourist haven,spectacular!"
,,Visit at night!,5.0,,"During the day the helix bridge can look a little odd, but visit at night and the contrast of colour compared to the MBS hotel and the ArtScience building offer a stunning backdrop."
,,Quite a bridge,5.0,,"As far as bridges go, this one is rather special and mind boggling as to how they built it. We went in the day but it lights up at night. Quite impressive."
,,Views...!!!,4.0,,Do not just consider this as a bridge. It will give you immense opportunities for clicking your pics and selfies.
,,Helix Bridge,4.0,,We walked along the river bank to the bridge and then crossed over to the entrance to the Sky Garden.
,,More impressive when you’re on it !,5.0,,We had seen this lit up at night and we travelled under it in the boat cruise but it wasn’t until we actually walked across it that you realise how impressive it really is !! Great views and an amazing looking bridge
,,Futuristic bridge,5.0,,"We walked across the bridge during the day, but at night with the multi coloured lights, it was so cool."
,,"A Bridge, with lights",3.0,,Makes a pretty photo but in the end it's a bridge between A and B with some lights wrapped around it to make the walk seem shorter and less boring.
,,Modern Side of Singapore,5.0,,"For someone who has very little time in Singapore, the best place to understand the modern side of the country is to walk The Helix Bridge. The best time to visit is evening time because it can be very hot in the day. From here, you can even see the Merlion from a distance."
,,Great Spot for Pictures,5.0,,"The Helix Bridge is a great way to get to and from Marina Bay Hotel, Shoppes and Gardens. There are two areas on the bridge which are specially designed for photograph taking. It's not a long walk but a pleasant one. At night the structure of the bridge/walkway is lit with an amazing light show that dazzles."
,,Amazing!,5.0,,"Singapore is one designation that truly wowed me, this small country is simply remarkable. The Marina Bay area is clearly a tourist haven,spectacular!"
,,Visit at night!,5.0,,"During the day the helix bridge can look a little odd, but visit at night and the contrast of colour compared to the MBS hotel and the ArtScience building offer a stunning backdrop."
,,Quite a bridge,5.0,,"As far as bridges go, this one is rather special and mind boggling as to how they built it. We went in the day but it lights up at night. Quite impressive."
,,Views...!!!,4.0,,Do not just consider this as a bridge. It will give you immense opportunities for clicking your pics and selfies.
,,Helix Bridge,4.0,,We walked along the river bank to the bridge and then crossed over to the entrance to the Sky Garden.
,,Great at night,5.0,,The illuminated double helix makes a surreal sight. We walked across to Marina sands stopping for photos
,,It is a bridge,5.0,,"A special bridge, but it is a bridge. At night good for photos. We crossed the bridge a lot to get from No Signboard to Water Show, to Flyer and back to Supertree Grove"
,,Interesting bridge with great views,4.0,,"The bridge is by the Marina Bay Sands hotel, shopping centre and convention centre. It has viewing points along the length and you can get excellent views of the skyline."
,,cool Bridge,4.0,,"is a Modern pedestrian bridge linking Marina Centre( Esplanade side ) with Marina South in the Marina Bay area in Singapore. It was officially opened on 24 April 2010.I Enjoyed
walking in the bridge to see magnicent view of the sea and fantastic the art of architecture of the bridge.This bridge was close to my hotel.
you should try it."
,,Great addition to wonderful City,4.0,,Helen bridge provides a great link between both sides of Marin’s Bay saving having to walk along busy duel carriageway. Also allows shortcut to Bay of Gardens through Marina Bay Hotel.
,,Surreal,4.0,,"The Helix Bridge is something special at night. Lights and more lights, very nice. Unfortunately very crowded too. But you will always find a less crowded spot to make a nice picture. It's fun to walk through."
,,Nice stroll in the evening,5.0,,This is your main bridge if you need to walk from your hotel in the bay area to Marina Bay Sands or Gardens by the Bay. Catch the AT CG lights on the floor which make for a quirky addition. The views from the bridge are decent too.
,,I see Red,4.0,,"Lights up at night in red, and a marvel of design. Anything can be built in Singapore. You will not miss if walking around bay"
,,lovely evening walk to the Bay,5.0,,Perfect for connecting the Marina Bay Sands area and shopping mall to the rest of the Bay - great architecture makes a lovely picture as you walk across
,,great views,4.0,,"another one of those must visit stops. just watch the sun, can get pretty hot. nice walk though and not too crowded."
,,Worth the WALK :),5.0,,"A very gorgeous and elegant bridge, worth the walk to take a few nice shots :) you can kind of see different views from it."
,,Amazing views!,5.0,,We paid to go to the top of the Helix Bridge which was an amazing experience as it was a clear day providing amazing views across the bay and city. Perhaps we were unlucky but actually finding the lift to get up to the top was not easy as signage was not as clear as it could have been. We ended up walking much further than we wanted to in very humid conditions but it didn’t spoil our enjoyment.
,,Nice at night,4.0,,We walked over the bridge at night and it was lit up and looked wonderful. Hard to get photos though. Very nice looking bridge and can see from some hotels in the area at night it looks fantastic.
,,Cool Bridge,4.0,,A useful bridge with interesting architecture/ engineering based on a multiple helix. Shares area and witnessed 5 near and 1 actual collision so ideally needs cycle/scooter paths 'designated' as in Brisbane etc.
,,It Gets Into Your DNA,4.0,,"Pardon the pun. It has four viewing platforms, partial shade and gets you to the Marina Complex on foot. The view is pretty good as well."
,,Remarkably well designed bridge that is almost an artform,4.0,,This pedestrian bridge links the marina bay area to the stadium on the other side of the river where you will also find all of the big-name hotels. It really is worth a visit to the whole Marina Park area as this was all built on reclaimed land .
,,Best photos of the city from here,5.0,,Start at promenade and walk across in the eveni9ng for the best photo opportunities that youll get ..Totally beautiful! Allow at least 45 min to soak up the views.
,,An all around view,5.0,,"This extravagant bridge is a symbol of the futuristic and modern Singapore. You have a 360 degrees view to the skyline, the Singapore flyer and the incredible Marina Bay Sands Hotel. It is good area for making extraordinary photos and to get an overview of the city."
,,nice picturesque walk,5.0,,you can walk the loop around the bay crossing this bridge and taking in the sights. Many opportunities for photographs.
,,A bridge with a twist,4.0,,"It’s a bridge, but nicely designed with some good architecture. What I like is there are viewing platforms that you can take unobstructed views of marina bay."
,,STAINLESS STEEL Superstructure Walking Bridge. 5-STAR,5.0,,"This is one of the most beautiful pedestrian only bridges in the world. You really need to see this amazing architectural stainless steel structure. No, it is not a ""must see"" things in Singapore, but you can easily see it when visiting the Marina Bay Sands Hotel and by river cruse boat.

BOTTOM LINE: Loved seeing this unique walking bridge. Worth you while to see and/or walk. Beautiful! MY RATING: 9/10."
,,OPTIONAL,3.0,,"One of the most beautiful bridges i have see. but its just a bridge. you can get a picture of it after experiencing artscience museum. if you have time to spare and energy, you can walk or jog... old knees say just take a picture :)"
,,Nice Cityscapes From This Bridge,4.0,,"The bridge in itself is not a major attraction, although the design is somewhat unique. But there are some spectacular views available whilst taking a stroll across this bridge, Easily accessible as part of a longer walk around the harbour front."
,,Great Bay Views from low level,3.0,,Good walking link from Marina Bay to Stafford Road via Turns 17 & 18 of the Formula 1 Grand Prix circuit.
,,A unique design and art,5.0,,We walked across the Helix Bridge to get to the Singapore flyer. The bridge has look out points over the River.
,,beautiful sight,5.0,,we viewed it in the daytime and at night when it is all light up in a beautiful blue color. There are gardens and an infinity pool at the top as well as restaurants and bars. Truly amazing.
,,Great view from the top of the building,5.0,,If you have a head for heights and the time go up in the lift to the swimming pool height and look out over Singapore which is free.
,,An interesting structure,4.0,,The engineering behind this bridge is interesting. We crossed it at night when it was illuminated. Very attractive.
,,Amazing Lights,5.0,,"The lights on the bridge are just amazing, It a very good walk all the way to Merlion Statue. It is very good lit up"
,,A bridge,3.0,,Walked across it a couple of times. Nothing to get excited about. This is probably the least remarkable thing about Marina Bay.
,,Eye catching engineering,4.0,,"This new bridge, part of the futuristic development op the Singapore Marine is constructed with eye catching engineering. Take a moment to view this bridge, even if you won't cross it. See picture."
,,Pedestrian bridge,4.0,,Nice design of this bridge which is a main walkway to get to the Marina Bay Sands Hotel. Can be quite busy depending on the time of day.
,,Stunning bridge,4.0,,This is a stunning piece of architecture. Lovely area to walk and takes you to the art museum. The bridge is a beauty when lit up in the night
,,We walked across the Helix many times,5.0,,"Loved the design of this bridge which is a main walkway to get to the Marina Bay Sands Hotel.
Depending on the time of day this pedestrian bridge can be quite busy,it’s a photographers delight to get photos at night the design and lighting is superb."
,,Helicoidal bridge,5.0,,"Amazing design, the light it up at night time. It is used to cross from Marina mall to Merlion sight view."
,,Go at night,4.0,,Go at night to see the lights both on the bridge and on the adjacent buildings which are spectacular.
