id,uid,title,score,date,content
,,Fantastic experience,5.0,,We had a great time with Alvin on this peranakan museum tour. We learnt about the history of peranakans in Singapore and saw all the great artefacts that Alvin has collected. We highly recommend this for those who live in Singapore as it’s a great way to learn more about the history.
,,Sincere and enthusiastic Peranakan sharing,5.0,,Enjoyed our 1 hr tour of Intan. The owner Alvin was enthusiastic in sharing his culture and open to questions about the Peranakan culture. He has a good collection of Peranakan memorabilia. Love the tea and Peranakan snacks provided to us and Alvin's warm hospitality!
,,A wonderful experience,5.0,,Thank you Mr Yapp for the interesting and eye-opening experience during our visit to the Intan. We definitely have gained a lot of insights and a better understanding of the peranakan culture. Mr Yapp has definitely offered us a different and unique perspective in this area and that has really helped us in our project. We enjoyed our visit a lot :)
,,Nice collection,5.0,,"Nice collection of Peranakan style appliance and fashion. Mr Alvin's presentation was great.
Needs prior reservation to enter. Quiet neighbourhood and walking distance to the old shophouses of Joo Chiat."
,,A look into Peranakan culture.,5.0,,"The Intan is a intimate look into the Peranakan culture and lifestyle. Alvin generously opens up his home and lets you take a look at his personal collection of beautiful Peranakan heirlooms. We were offered lovely lime juice tea and cakes as Alvin began to tell us how his passion for collecting items turned his home into a small museum. His shoe collection is amazing, every nook is filled with another interesting item."
,,A 5/5 visit to the Intan!,5.0,,"We visited the Intan to interview the owner Mr Alvin Yapp, as part of our project work regarding the Peranakan culture. Mr Yapp was incredibly friendly and welcomed us to his home with open arms. He was helpful and provided us with many insights into the Peranakan culture during the interview. Beyond enlightening us on the culture, he taught us to question and think critically about the project task we were working on. Although we did not join the tour around the Intan, the architecture of the place was stunning and unique. We would have loved to join the tour if possible!

Thank you, Mr Yapp for the memorable visit to the Intan! :)"
,,Fantastic visit to the intan museum,5.0,,"A unique museum in Singapore. A private collection of 5.000 items of Pernakan culture, from slippers to food containers, to incredibly elaborate furniture. A must see in Singapore for visitors and Singaporeans alike! Highly recommended and the owner, Alvin, takes you on a unique tour!"
,,A total gem!,5.0,,"One of the most unique museum experiences you will EVER have. Alvin, the museum owner is an avid collector and not only walks you through what he has gathered over the years - he shares a piece of his heart and passion. Be prepared for an unforgettable experience - a different and very personal approach that lets visitors discover the Peranakan culture. Don’t miss it."
,,One of the best things to do in Singapore,5.0,,"An amazing experience — don’t go if you’re expecting a stuffy institutional visit. This is Alvin’s home and you’re made to feel like a welcome guest and old friend. Visit if you want a look into an authentic slice of Singaporean life, with no airs and artifice. The house is beautiful, the company is entertaining and you’ll leave with some great memories."
,,The little gem that could,5.0,,Alvin is a master storyteller and gives visitors great insights into the lives of Peranakans in Southeast Asia. Ask him about any item in this private museum and he has a story to go along with it. I recommend this without hesitation!
