id,uid,title,score,date,content
,,"Impressive, high end, shopping mall",5.0,,"Living in Dubai, I have seen my fair share of impressive shopping malls and The Shoppes at Marina Bay Sands is right up there with the best Dubai (and the world) has to offer.

The design is striking and the location, on Singapore Marina, underneath the iconic Marina Bay Sands Hotel, incredible. The mall even boasts its own indoor canal, complete with boat rides, and mini waterfall, which I found mesmerizing!

Most of the high end brands appear to have outlets. There is a large food court and children’s play area, theatre, casino, night club, an excellent array of quality bars and restaurants, including bread street kitchen and yardbird.

The sort of place you could easily spend quite a few days and huge amount of money!"
,,Wow,5.0,,Its simply wow and it takes a lot of time to cover both inside and outside so do plan accordingly. Great place to be also have a huge foodcourt inside which has a lot of options and cheap compared to other places.
,,Fantastic Mall,5.0,,"Fantastic shopping Mall at Marina Bay Sands. All the top brand name stores plus lots of other shops and restaurants. We spent a whole afternoon wandering around this Mall. Pure luxury and huge area on many floors, so you can get really lost.
Some smaller cafes and even 7/11 for cheaper snack & drinks and there is even a supermarket."
,,You show watch the fountain show there,5.0,,The shopping center is enormous. You can get lost there. You show also watch the fountain show at the sea side. There are two or three shows during the evening.
,,Good,5.0,,"Staying 3nights at MBS hotel and wondering around shopping mall. There are branded shops and lots of restaurants.food court is fantastic as prices are reasonable and good service.
I went to a shop called SPECTACLE HUTChecked for a pair of RAYBAN sunglasses. It’s the same price like in Sri Lanka.for me it’s not a over priced place.
Before you do shopping try to get MBS membership card. As a tourist you will get GST refund and purchasing on points too."
,,Luxury mall,4.0,,"Located in the Business district with a connecting walkway to MBS hotel, this is a luxury shopping mall with international brand names like Louis Vuitton, Chanel, Coach, ... It has a casino, a boat ride, a food court & many restaurants. Not as busy as other malls as it is pricey."
,,Shoppers heaven,5.0,,"Wow. Its literally a heaven for shoppers (females). You got everything from bags, dresses, perfumes, accessories etc. All the world's best brands under one roof. Not cheap but pricey. Good food court and wide variety of food available."
,,Overpriced. Over rated. Ostentatious,3.0,,OMG - a huge range of top brand shops in one complex. Two things in common. Inflated prices and empty. Give me a community market any day. Best and busiest place in the whole centre is the food court - huge array of stores.
,,luxury shopping,4.0,,"Everything here is so luxurious and it is very costly. It has its own station, Bayfront (Downtown Line). From here, it is accessible to few others attractions, such as Garden by the Bay, Flyers, Esplanade, Fullerton and more. Be prepared to walk alot. Worth to visit even if you don’t want to shop at all."
,,Amazing,4.0,,"Wow this shopping centre is amazing. A huge range of shops, designer shops, celebrity restaurants, a waterfall, boat rides and a casino!"
,,Amazing array,5.0,,"Obviously, these are stores under a five star. But you can still find some good deals. The array of stores is amazing and it has the Sampan boat water channel that adds to the over all beauty. Its worth glancing all the stores even if you may not buy anything. All brands. Totally worth it."
,,Good Variety of Stores,5.0,,"If you are looking to shop for high end products, this is the place to be. Probably because of the prices of products, the place tends not be to be crowded. But aside from store, the are a lot of dining choices here from fast food to fine dining restaurants."
,,Fantastic Mall design!,5.0,,"This Shopping Mall is integrated into the Marina Bay Sands hotel. Super modern Shopping Mall, which I can only compare with the Dubai Mall, in Dubai. Four floors, which are located on the most expensive brand shops and many excellent restaurants. There are channels on which boats float.
If you want to buy things of luxury brands, then you direct road here."
,,Vibrant place,4.0,,"A vibrant and cozy place to go,chill out or enjoying the outdoor. This place houses some of the top notch fashion store,some name you dont know exist! It connect with Bayfront mrt station. Overall its a good place to jalan-jalan."
,,Great place to hang out,5.0,,"Greta collection of uber luxury brands and affordable luxury as well. Multiple tiers of ships where you can easily spend a few hours strolling and shopping to your hearts content. The ground floor has a small canal where people can ride a gondola. Honestly I feel that is the cheesiest thing one could do and why people would spend money on this activity is beyond me. However, all other aspects of this place are amazing.

Galleries offer amazing views of the marina. Restaurants in this location are really good and offer a variety of cuisines. There is a huge casino in the complex as well which is a great way to pass your time and have some fun."
,,Huge over the top shopping mall,4.0,,"This place is 4 or 5 levels of deluxe shopping boutiques, designer stores and every other kind of stores you could think of. There are also many restaurants and bars. You could spend many hours and many dollars here easy."
,,Shopping heaven!,5.0,,"If you are a shopaholic, this is the right place for you.
Shop till you drop! Variety of luxury designer's brand to choose from.
Nice ambiance to dine in too. Lots of restaurants, cafe and food-court available.
Make sure to visit Louis Vuitton flagship stores there, besides happily shopping, you can enjoy beautiful river view."
,,Luxury mall with amazing views,5.0,,"The Shoppes at Marina Bay Sands is a beautiful and stylish luxury shopping mall with a glass roof and amazing views of the Singapore financial district skyline. It has an excellent food court and you can visit the ArtScience Museum which is right outside the mall, as well as get the most amazing views of Singapore city skyline.

There are some great restaurants here but what we really enjoyed was eating at the food court and enjoying the light display just in front above the round cordoned off area.

We visit Singapore quite often for shopping and sightseeing and use it as a getaway, so we really like to come to this part of the island. With the ArtScience Museum and Gardens by the Bay which are nearby we will continue to visit the Shoppes in the future for shopping and eating and to enjoy the amazing views of Singapore's skyline."
,,Awesome shopping place with amazing experience,5.0,,"A very beautiful place to quench ones thirst of buying luxury brands. Plus a place where shopping is an unique experience. Water fall, boating, science worlds, food, entertainment like night club, casino and lots and lots of things to do. A gateway to paradise"
,,High End,4.0,,"It's difficult to understand people calling it an overpriced mall, the brands are all high designer labels and the pricing is along the expected lines. We shopped at places like Zara and Charles & Keith here. The architecture is something you'd marvel at, there is outdoor area with the views of the skyscrapers and the bay where they organise a light and sound show every evening.

The stand alone restaurants are definitely on the pricier side (Break the bank though for Gordon Ramsey's place, you don't find his restaurants everywhere in Asia). The food court on the lower level bustles with crowds, local and tourists, with places that fit every budget. Had one of our better meals here."
,,Best Mall I Ever Seen,5.0,,this is my first time in Singapore. then I went to the shoppes its just incridible futuristic mall. I love it..
,,High-end shopping at its best,4.0,,"All of the high-end and luxury brands in one place. Even if you are not shopping, you should walk through and admire the architecture and decorations."
,,Excellent food court,4.0,,Great value and a vast choice of food options from dim-sum to curry’s and traditional Chinese food. Great if you want something small and don’t want to pay restaurant prices.
,,Food court is the highlight for the average shopper,3.0,,"The stores are all high end and unless your looking to spend a bit of money the average shopper will only wander around window shopping whilst escaping the heat. However the food court is bustling, vibrant and well priced. Everyone should be able to find something that they would enjoy and its like a Hawker center in the mall."
,,Hit the food court!,5.0,,"The food court had tons of choices! Lots of high end stores which we couldn't afford, lol. It's a great place to seek refuge from the heat. Nicely air conditioned."
,,Great place for window shopping,4.0,,"This is a really huge shopping mall. It's a lovely place with lots of shops and restaurants. However, most of the shops are on the expensive side. Great to just walk around and have a coffee."
,,Amazing to walk through !!,5.0,,"Name a label brand shop and it’s here !!
Every brand you’ve ever heard of and then some more !
Amazing to window shop and the watches are WOW - price tags not for the faint hearted !
Great food court and cute gondola ride available for a bit of fun
Definitely worth a visit if you’re in the area"
,,"Great shopping place, good food!",4.0,,"The area is really nice to discover and walk around. Go and walk amongst all the shops and restaurants, it's worth it!"
,,The mall to beat all malls,5.0,,"You have to walk through the Marina Bay Mall to get to both the Skypark & the Bay of Gardens & you can’t fail to be impressed, anyone who has been to Dubai would compare this with the mall of the Emirates, it really is impressive with every designer store you can imagine being represented.

The layout is good, the A/C a welcome reprieve from the heat & humidity & the various facilities impressive, e.g the w/c are impeccably clean, if you’re in the vicinity do take a look, one of the most impressive I’ve visited, loved the interactive floor below the huge chandelier, children & parents were having a lot of fun!"
,,Amazing mall,5.0,,"Amazing mall, central to everything and it has a ton of great restaurants and shops. It does have almost all luxury brands but it's awesome."
,,Impressive,4.0,,This modern mall is a must visit at least once. It is very impressive with waterways for the gondolas. With exclusive international shops which encloses every brand possible. Nice restaurants.Excellent shopping paradise!
,,WOW what a place,5.0,,"This was our third year in a row visiting here but this place still amazes me. Amazing mall beautiful shops very well organized and maintained. This is a must visit for first timers, my sons love the DC super hero cafe the Digital Light Canvas is a fun experience for the little ones this year we even took the boat ride which was a lot of fun. There is every brand you can think of many restaurants and bars the food court has a lot of options but unfortunately the seating area cannot accommodate everyone because it gets crazy busy during lunch and dinner hours. We watched Spectra The light show from the deck which was a lot fun for the kids even though they had seen it last year too. Basically a visit to Singapore isn't complete without coming here."
,,"Paris, New York, Tokyo.... nothing compared to this Amazing Mall",5.0,,"I've shopped the world over, and NOWHERE (not even Dubai) have encountered a nicer shopping mall - exclusive international shops (the Louis Vuitton Store is especially amazing: with its unique separate building adjacent to the huge main building) and a wonderful blend of local boutiques/favorites. Name a leading luxury brand and they're there. Exquisite, but if you're from the US - seems a bit more expensive than buying at home.... Wonderful restaurants and you can observe the ""action"" on the casino floor through windows above. A wonderful place to walk when the Singapore weather sizzles. Adjacent to the wonderful Marina Bay complex - including the not to be missed Gardens. Not historic (little of the old Singapore exists) - but a must visit spot. Waku Ghin restaurant located here. Especially great place to view the nighttime fireworks from."
,,A must visit shopping center,4.0,,"An impressive shopping center, with all the top class brands, channels with gondols etc, really a mall to visit. Also the water drop on the front of the sea site is impressive."
,,"Amazing mall, a must in Singapore",5.0,,"Amazing mall, a must in Singapore. Both for shopping and enterteinment. All important brands, many boutiques. Wide range of restaurants and food corners. Nice coffee shops. Gondola trips very funny specially for kids."
,,Expensive!,5.0,,Definitely not the place for bargains but absolutely perfect for window shopping. This mall even had a boat ride through the middle of it. We visited the food court on out first night and there was a fantastic range of options.
,,Great Food Hall,4.0,,"If you find yourself in the Marina Bay Area visiting the Singapore Flyer, the Merlin and the Casino then want a place to cool off - go to the shoppes and don’t miss the food hall at the basement level. It’s a busy place but definitely you will not regret going if you are a foodie. Lots of quality food choices. There is also a very nice chandelier and interactive floor for the young ones to play with."
,,"Check out the prestige labels, stay for brunch",5.0,,"I've been to The Shoppes, a few times now and really enjoy visiting here each time I fly into Singapore. There are a number of high-end retailers here with famous fashion labels aplenty. It is also a great spot to have coffee / brunch or just a walk through (check out my YouTube video) to experience the cool ambiance."
,,Platinum card required!,4.0,,"Very high end mall shopping set nicely beneath Marina Sands hotel, a nice visit even if you don’t have a Saudi prince pocketbook!"
,,one of Singapores high class shopping centers,5.0,,"Marina Bay Sands shops is one of those shopping centers that needs to be seen to be believed. With all the high class brands like Gucci; Prada; Hugo Boss etc etc. There are multiple floors and many different directions to go and all have shops that ooze luxury. Plenty of Restaurants and eateries and a food court on the very bottom level. Even just to look around is fun. You could probably spend a day looking through all the shops there are to see.
Absolutely incredible and well worth a look."
,,THE PLACE TO BUY HIGH END CLOTHING,4.0,,This mall caters mostly for the very wealthy crowds. All of the stores are of the best of the best all over the world. It is a delight to just stroll and do window shopping
,,Very civilised way to shop,5.0,,"If you want a quieter and more orderly shopping experience vis a vis the busy Orchard Road, the Shoppes is a good option.

Quieter, easier to navigate and close to plenty of bars and restaurants around the bay.

Handy for passengers coming from the new Marina Bay cruise terminal, which we were."
,,An amazing (though potentially costly) experience!,5.0,,"The Shoppes are essentially a collection of the very most ""top-end"" Boutiques, with prices to match. For those of us on a ""normal"" budget they provide an amazing insight into what money can buy, and the entire area is very photogenic, especially the digital fish pond. Once again a ""must experience"" if visiting this Hotel!"
,,On reclaimed land,4.0,,This entire plot of land is reclaimed land. It’s here as the economy of Singapore gets bigger and the government needs to increase the size of the central business district. The area has many famous landmarks as well like the marina bay financial centre which is the latest addition to the number of office towers here in Singapore. Not forgetting the iconic marina bay sands as well.
,,Wow,5.0,,"I just loved the fact that the Hotel where I stayed in had a shopping mall right there.

I used to go there every day for breakfast, lunch, and dinner at their amazing food court.

Walk around their wonderful and neat hallways as I admired the many different stores. From High-end brands to the ones we can afford.

The elegant stores, fantastic service, clean environment of this mall, makes it my favorite mall so far!!

They have very important restaurants from well-known chefs from all around the world.

Thank you for creating such an exquisite place."
,,Great shopping and food,5.0,,Enjoyed walking around in the air conditioning at night. We ate here in the food hall. Nice chicken and rice with broth. The shops are luxury ones. I went ahead of my wife to Michael Kohrs and asked the lady to say they were closing. Unfortunately...she did not.
,,Spectaculus,5.0,,"Crazy! Make sure to visit this place. If you have the money, you can buy something. I guess Dior is one of the cheapest places in there. Only top labels have their boutiques there."
,,Large nakl,4.0,,"The mall is mainly high end shops. Main plus is the A/C which is very welcome when exploring Marina Bay.

There is a food hall on the lower ground floor, reasonable prices. The food hall is beside a huge chandelier hung from the ceiling that sparkles and changes colour.

You can ride on a boat (imagine a gondola without the atmosphere and beautiful scenery) near the middle of the mall, it looks very cheesy and pointless.

The mall is attached to Marina Sands Hotel"
,,Massive,4.0,,"We actually were thinking of staying at Marina Bay Sands and were glad we didn't. It is so huge. The shopping centre is full of every kind of designer label you could think of, so they obviously cater to a select clientelle. The exact reason why we didn't enjoy staying on Orchid Rd years ago. The builing is spectacular."
,,Fantastic Place to Visit,5.0,,"Every time we’ve visited Singapore we have come here for a few hours. There’s tremendous selection of shops, cafes & restaurants. I always visit the food court as there is a great selection of Asian food at very reasonable prices for this area.
Toilet facilities are good and kept in a clean condition.
The shopping mall is kept spotless clean and well air conditioned.
You can access the Marina Bay Gardens from here."
