id,uid,title,score,date,content
,,"customer service ist the worst ever, unfriendly and incompetent",1.0,,"Wanted to collect a Tourist Privilege Card - you only get one, if you will present your passport AND the the white card for leaving singapore. They even are incompetent to recognize that i was in singapore for several times the last year, just if they look in my passport. Just buy at other places - it‘s less expensive and the people are much more friendly."
,,World class shopping complex,4.0,,Amazing Shopping complex in Singapore and can by all the top brand and it look as stylish building and world class facility
,,Shopping Near Sentosa,4.0,,"This is the closest shopping centre to Sentosa Island.
There are so many shops here, I preferred it to Orchard Road as more suitable shops to what I needed & a large variety of food options, both Asian & Western options.
All the locals are found at lunchtime down in the basement level.
On the main level there is also a supermarket where we bounght basics before returning to Sentosa Island."
,,Wonderful !,5.0,,"Best place to shopping in Singapore. If you will come to Singapore, you can come this place and get great shopping experience."
,,Great shopping destination,4.0,,"Such a large mall with a good variety of shops. A lot of the popular clothing stores had decent discounts when we visited which was lucky. All depends what you are looking for I guess.

Great food court is Basement 2 and lots of accessible toilets and parents facilities."
,,Support Hair for Hope,3.0,,Went with family to support Hair for Hope event at VivoCity atrium. 14 company staff brave to get the hair shorn to raise funds and support children with cancer.
,,Gigantic shopping mall - can spend a whole day easily,5.0,,"I was very surprised to see the size of the shopping mall - it had every shop and restaurant I could name. Luckily, there were seats around the mall so tired customers can take a rest before moving ahead to the rest of the mall. The view outside (facing the harbour) was excellent for photos as well."
,,Sherin Nafie,4.0,,"A nice mall to visit with a variety of shops, cafes & restaurants. It gets quite crowded in the afternoon & on weekends. Not far from Sentosa Island."
,,New malls at basement 2,4.0,,Several new malls at basement 2. Tried Nakhon Kitchen. Still affordable Thai food considering it is in a shopping mall. Had pineapple fried rice for $6. Queue starts to build up after 12pm.
,,Busy at the weekend !!,5.0,,Our advice would be to go to Vivo on a weekday morning. Any other time it can be really busy. Difficult to get in the obvious lifts but the service lifts are great for wheelchairs. Plenty to see in the way of shops!!!!!
,,Vivo review,4.0,,"Great view, and a variety of shops to choose from! Gets really crowded during the weekends tho! Enjoyed my time there"
,,Broitzeit vivo,4.0,,"Nice crew,very observant amidst the bz after hours crowd. I didn’t take down the ladys’ name who serves alfresco but she made my meeting a pleasant one!meticulous service! Will sure go back for after hours drinks!"
,,love love love,5.0,,i love this mall.. so good .. so many store i love too.. and there is sentosa express to go to universal studios
,,busiest mall in singapore,3.0,,"qmy least favourite mall in singapore because it's always so busy and especially on sunday

occasionally come here for gold class cinema when my favourites don't have the film I want at the time I want and it has a couple of good bars, queen and mangosteen and brotziet

but it's never quiet"
,,Huge Mall,4.0,,This mall has A LOT of things. Can spend a whole day in this place. Has a huge spread of food choices and also for shopping. It is also near Sentosa for tourists to stop by and get some stuff!
,,Amazing mall,4.0,,"I love the food court here the most.
Vivo City is a lovely shopping mall.
You can transfer to Sentosa from here.
But coming back to the food court... I ate twice here.
I was so happy to see some Chinese food here.
I found my favorite hotpots and some south Indian food.
A nice mall."
,,Big mall,4.0,,"This is a huge mall located right at the entrance to sentosa. The monorail station to sentosa island is also located here.

A number of eateries can be found within the mall and the giant supermarket is also found here at the mall.

Very convenient located as the mall can be reached by MRT and many public buses."
