id,uid,title,score,date,content
,,Great place to chill out,5.0,,"I always enjoy an evening walk and the waterfront promenade is one of my favourite place to walk, the beautiful skyline, the lights from the surronding buildings is beautiful and fantastic to admire...very romantic too."
,,One of the Best Waterfront in the World,5.0,,"Visited as a part our tour to Marina Bay. Having seen many Waterfronts around the world, I must admit that the Singapore Waterfront and the Promenade is one of the best in the world."
,,"Stunning, Vibrant Waterfront",5.0,,"Singapore’s Waterfront Promenade, magnificent architecture, stunning Marina Bay Sands hotel and shopping arena dominates Marina Bay; the Waterfront Promenade is a 3.5 kilometre stretch that loops around it. Vibrant Marina Bay comes alive spectacularly at night, bathed in multicolour lights from various attractions. Water & laser show is regularly shown in the evenings at Marina Bay waterfront promenade. I have gait/walking challenges (stroke), all sightseeing has to be well-researched and not overly taxing; I wear a legbrace. Easy walking; sensational area."
,,Plenty to see and do,5.0,,Have a walk around with your camea round your neck. You will be pleased with all of the views from this area
,,Spectacular view,5.0,,It is one of the best place in singapore. You can enjoy the terrific light show at night (you have to check the timings). Excellent view of skyline at night.
,,Great place to take a rest with a view,5.0,,"I visited during a conference and enjoyed the evenings watching across the bay. It is a pleasant stroll to get to Clarke Quay, where lots of restaurants can be found."
,,Light Show,4.0,,"There is a light show each night, sometimes twice a night. It is cute. Something to do on the hot Singapore night."
,,Beautiful,5.0,,"I love singapore and this area sums it all up. Clean tidy safe colourful lots to do and see excellent restaurants, relaxing nice walks round the waterfront where there is usually a nice cool breeze blowing"
,,Nice! Nice! Nice!,5.0,,"So many great venues and great food to choose from. Excellent shops, good taste with price tags. Feels like you are in Europe!"
,,Must see,5.0,,"If you do only one thing in Singapore, do this. The entire area is bustling and the view is breathtaking. Plenty of eateries nearby. Try the river cruise."
,,Very good,4.0,,"Right next to merlion statue, so its suitable for taking pictures of the bay and the gardens and Singapore's iconic buildings."
,,Go at night...,5.0,,Experience the light shows and take a boat trip along the Singapore River to view the best the city has to offer. Particularly impressed by the Helix Bridge.
,,A must see,5.0,,You will have seen the sights on tv especially F1 fans so you must take a stoll along the front. The night laser show was a disappointment but given it is free one should complain. If had nothing else planed would watch again as one can just roll up before it starts as plenty of viewing space.
,,Beautiful both day and night,5.0,,"We just loved this area (Civic District) both in the day and at night. They seem to have a light show every night, which is unbelievable. The buildings are beautiful and the city has been planned so well you cannot help but to appreciate it."
,,Night time magic,5.0,,Do not miss the wonderful water spout show at night go early and get a good position the best is the higher part of the promenade as if you go to the lower section you will get wet. This free show lasts for approx 30 mins and it gets very busy so go early for a good spot take water with you as even at night it is very humid.
,,"Sherin Nafie, Cairo, Egypt",5.0,,The promenade is a great place to visit. Take a walk around the bay area (weather permitting) & enjoy the musical light & color show every evening at 8 & 9 pm at Marina Bay Sands.
,,Promenading around the waterfront,4.0,,"It was lovely just to walk around the various parts of the waterfront. The hop On Hop Off Bus works well to get to the different parts. It is particularly pleasant around the Fullarton waterfront area. However, quite disappointing that the restaurants there provide a pleasant atmosphere for people to sit, relax and soak up the ambience, but again BEWARE - the prices are TOO HIGH."
,,Great Views,5.0,,"This is part of a great walk from Raffles ti Marina Bay Gardens. Beautiful promenade with views of the Merlion, Helix Bridge and Marina Bay Sands. And you can go inside to the air conditioning if it is too hot!"
,,On the Lane of Joy of Sightseeing,4.0,,"The waterfront promenade will lead you many urban attraction of Singapore. If you do not stay at the bay area, you can drive/bike/go by metro to the Station of Promenade. Both day and night times are joyful to be there. You can visit the Merlion as a symbol of Sİngapore, take a river tour, visit the shopping mall, sit at the cafes, and take many photos."
,,stunning,5.0,,I cycle around here many mornings and love the way it looks at 5am and at night beautiful to walk around too lovely bars all around it to enjoy too perfect
,,Very good,4.0,,"Right next to merlion statue, so its suitable for taking pictures of the bay and the gardens and Singapore's iconic buildings."
,,Go at night...,5.0,,Experience the light shows and take a boat trip along the Singapore River to view the best the city has to offer. Particularly impressed by the Helix Bridge.
,,A must see,5.0,,You will have seen the sights on tv especially F1 fans so you must take a stoll along the front. The night laser show was a disappointment but given it is free one should complain. If had nothing else planed would watch again as one can just roll up before it starts as plenty of viewing space.
,,Beautiful both day and night,5.0,,"We just loved this area (Civic District) both in the day and at night. They seem to have a light show every night, which is unbelievable. The buildings are beautiful and the city has been planned so well you cannot help but to appreciate it."
,,Night time magic,5.0,,Do not miss the wonderful water spout show at night go early and get a good position the best is the higher part of the promenade as if you go to the lower section you will get wet. This free show lasts for approx 30 mins and it gets very busy so go early for a good spot take water with you as even at night it is very humid.
,,"Sherin Nafie, Cairo, Egypt",5.0,,The promenade is a great place to visit. Take a walk around the bay area (weather permitting) & enjoy the musical light & color show every evening at 8 & 9 pm at Marina Bay Sands.
,,Promenading around the waterfront,4.0,,"It was lovely just to walk around the various parts of the waterfront. The hop On Hop Off Bus works well to get to the different parts. It is particularly pleasant around the Fullarton waterfront area. However, quite disappointing that the restaurants there provide a pleasant atmosphere for people to sit, relax and soak up the ambience, but again BEWARE - the prices are TOO HIGH."
,,Great Views,5.0,,"This is part of a great walk from Raffles ti Marina Bay Gardens. Beautiful promenade with views of the Merlion, Helix Bridge and Marina Bay Sands. And you can go inside to the air conditioning if it is too hot!"
,,On the Lane of Joy of Sightseeing,4.0,,"The waterfront promenade will lead you many urban attraction of Singapore. If you do not stay at the bay area, you can drive/bike/go by metro to the Station of Promenade. Both day and night times are joyful to be there. You can visit the Merlion as a symbol of Sİngapore, take a river tour, visit the shopping mall, sit at the cafes, and take many photos."
,,stunning,5.0,,I cycle around here many mornings and love the way it looks at 5am and at night beautiful to walk around too lovely bars all around it to enjoy too perfect
,,Monitor lizards!,4.0,,Went running with a friend along the waterfront to do some tourist pix of Singapore. Along the estuary/bay he pointed out monitor lizards that were floating around the bank.
,,Great views,5.0,,"We really enjoyed walking along the promenade in the evening. Wonderful views, and the promenades are wide and therefore comfortable no matter how big the crowds. Daytimes were too hot, though."
,,"Very unique laser, light, water show",5.0,,"The night view of the waterfront is transformed in the evening with beautiful and entertaining laser, light, water and music show. The spraying water is the screen for the laser show. It’s very unique."
,,nice walk in the evening,5.0,,to see the skyline of Sin during the evening with all the lights around you is really amazing. You see all kind of people doing sports or just sitting together. After a good restaurant perfect walk to digest.
,,wow wow wow,5.0,,"we went to see spectra at marina bay , such a unique spectacel, a must see. a mixer of dancing fountains, laser and projection, it will blow you away"
,,Beautiful,5.0,,This is an excellent place to have a walk either night or day. Full of arquitecture and sculptures. This is a beautiful city!
,,Wonderful,5.0,,"Amazing place to visit and soak up the atmosphere, you must see the free light and water show. Can be a little busy"
,,Stunning area for shops and entertainment,5.0,,"We arrived during day light and were amazed by the architecture, the shops and the bay. As night fell we found a bar where we could enjoy a meal and watch the colorful light on water show. We decided to head back to our hotel as an event at the convention centre finished. The style in Singapore is seriously smart but this would have outshone the Oscars and was more Princess Margaret at the Debutante`s Ball. Well done ladies (and gents)"
,,Marina Bay Singapore,5.0,,"Marina Bay and Waterfront is flanked by great architecture and the best people watching. We were there for Week of New Years Eve 2018. The area was so crowded we only saw part of the fireworks (if you go get there early in day for a place to view) Next night we watched the free light and water show. Spectacular! Not to be missed.
The helix bridge makes great photographs as it changes colors at night!
We did not visit the ART Science Museum.
The food was expensive (everything in Singapore is expensive) but everything we ate was great!"
,,Yet another highlight,5.0,,"Lovely place to walk, sit & people watch - far better at night, the city seems to come alive and its a little cooler as well, caught the end of the light show which looked stunning, we didn't have time to return but would have liked to see the whole show."
,,Lovely place to take a evening stroll !,5.0,,"The Waterfront promenade, as its name would suggest, is a 3-4 kms along the bay walkway near Marina bay area. The promenade is beautifully designed with an environment friendly recreation area. There are several mist sprays to relieve tourists and visitors from the extreme humid Singapore heat. They have also installed breeze shelters with motion sensor fans to take a break during the walk around the bay.
The promenade gives a nice closeup view of the bay.

This place also serves as a viewing area for various public events organised here regularly. We enjoyed the special midnight firework show from here on the New year !!! We sat at the bayfront and enjoyed lovely sunset.

Spectra is one of the largest light and water show in Southeast Asia which tales place here. This is a free spectacle featuring a delightful show of laser lights and water fountains accompanied by orchestra music twice every night. It is best viewed from the Event Plaza.

Then there is the famous Helix Bridge which connects Marina Centre to Marina South. This uniquely designed beautiful pedestrian bridge has a double helix that resembles the DNA. There are 4 viewing platforms located along the bridge for people to enjoy breathtaking views of Singapore skyline.

One can also see the ArtScience Museum which is a lotus-designed building that forms part of Marina Bay Sands.

Overall must visit promenade in Singapore to soak in the fun, frolic and spirit of Singapore !!!"
,,Great walk,5.0,,Nice walk from Grand Copthorne hotel following the river. Passing lots of bars and restaurants en route. Historic points picked out on signs. Best done at night when a tad cooler. Lots of fish and even turtles seen. Had not realized part of giant reservoir. Towards Marina Sands the promenade becomes a mass of activity and noise. A must walk
,,Day or night,5.0,,A great place to go for a stroll in the day or evening. Beautiful location on the Marina bay. In the evening it’s lit up. Close to gardens by the bay.
,,A Must Go!,5.0,,"This waterfront promenade is amazing! If you are already nearby Gardens by the Bay and also Marina Bay Sands, make sure you go to the other side and capture this fantastic view!!"
,,"Safe, spectacular area to visit day or night.",5.0,,"Visited just at the end of Chinese New Year Celebrations. Absolute bonus for us as there were multiple light displays around the whole of the Marina area. We visited here on numerous occasions both day and night. Day time is great for marvelling at the architecture, museums, etc. Night time is amazing, lots of people out enjoying the cooler time, including young families. Light show is spectacular, even if watching it for the third or fourth time. We viewed it from different positions on the boardwalk, got very wet on one occasion, but well worth the up-close experience."
,,Stunning view of the city.,5.0,,"Was beautiful looking at the city from the spot , stunning views and FANTASTIC light show that they put on twice a night. A gorgeous place . I wore comfortable shoes as we did alot of walking and some of the decking and ground was uneven"
,,A pleasant walk day or night,5.0,,"An easy and enjoyable walk along the Promenade with many places for drinks, ice cream and lovely views. At night the lights are magic especially with a full moon in the sky"
,,Water whps!,5.0,,Hotel- business card of Singapore! interesting place. every evening you can see there beautiful projections of water whips combined with beautiful music! We had the pleasure to watch the whole spectacle and we were under great impression! Everywhere you see very good management of funds!
,,Amazing view!,5.0,,"This is a nice place to walk around. The view of all the buildings is amazing, especially at night! Marina Bay is very impressive to see!"
,,Eye catching,4.0,,A ever changing eye catching artwork at the waterfront promenade. Good photos and big crowds. Can be hot and humid in middle of day so visit early am
,,Great place to walk. City nightscape is fantastic.,5.0,,"A great place for a walk to take in the city sights and the lights in the evening. A great way to spend time seeing the sights, especially at night."
,,Visit in the evening to see the lightshow,5.0,,Lovely area to walk around and take in the sights. We visited this area during the day and also returned at night for the free lightshow which takes place every evening. The best spot to view this is from the outside seating area near the entrance to Marina Bay shopping mall.
,,"Enjoy the sights, and explore the transition from the cisty to the bay",4.0,,"The Waterfront Promenade is located as you walk from the financial center toward the bay, Many restaurants, coffee shops, and park benches. Try going there early morning, or evening."
,,Great place for an evening walk,5.0,,Loved the buzz of the promenade after the fountain show in the bay. There were lots of folks out enjoying the numerous activities in the lovely weather. The atmosphere is friendly and happy. We enjoyed it a lot!
,,Take a boat trip,5.0,,"Take a boat trip and you may even be lucky enough as we were to time it when the fireworks go off, it's the best place to see them and the light show"
,,Excellent free laser water and light show.,4.0,,"The show lasts 15 minutes and is shown at least twice a night. See it from the hotel side on the upper section. Get ready for a great show, pictures and movies."
,,Great night out,4.0,,"It is good during the day but even better at night, the ambience is cosy and the people watching is great fun (they probably laughed at me) Good options for food and drink it can be pricey so shop around."
,,A pleasant stroll,4.0,,"Nice area with lots of 'shoppes' selling premium goods for big premium money (so empty as usual) within a few yards, and the spot for the free 2x evening light/water shows."
,,Great Place to Walk!,5.0,,This is a great place to walk and see all of the Marina. We enjoyed walking there every night as it was also close to the hotel.
,,Wonderful walk at night time,5.0,,"Although beautiful during the day, the waterfront is spectacular at night. Don't be disappointed if the original Singapore merlion is enshrined, as it was for our visit, during renovations. If you are going to the waterfront to specifically see this, it may be worth checking to see if it is visible again."
,,Peaceful evening walks,5.0,,"Skyscrapers on one side and river on the other. Offers a soothing experience and breathtaking view, especially in the evenings"
,,Very excellent combination of light - water - sound,5.0,,"The contribution of sound/music made me very happy to enjoy the show, super touching and amazing. The dance of light was awesome and magical it brought water movement into farther level that I didn't imagine before. A little bit sad as people coming all stood up and try to capture the scene, instead of sitting and sharing space with others to enjoy the water."
,,"UNREAL! The Most Beautiful Waterfront in the World! PERFECT ""10""",5.0,,"I have seen waterfront skylines and promenades all over the world, but I give the Singapore bay promenade my #1 VOTE. Nothing comes close with the highlight being the Marina Bay Sands Hotel. Whether you are here for business, catching a cruise or vacation, don't miss seeing this beautiful bay. There is so much to see including Merlion the water shooting lion/fish statue in the harbor.

BOTTOM LINE: AMAZING to see! I love seeing the bay skyline area at night. Even during the day it is beautiful. I recommend taking a river cruise from Clarke Quay at night to take in the whole experience. LOVED IT! MY RATING: 10/10."
,,Excellent night light show,5.0,,"Get a real good look at this by taking a Bum Boot ride around the river, also good just to have a walk around the area as well. a good night time light show from the Marine Sands Hotel at 8pm for 10 odd minutes"
,,Night Cruise,5.0,,A must do to see the skyline from a river cruise. See the 15 minute laser light and fountain show that you will not be able to see this up close. Hong Kong's night skyline as seen from the Kowloon side might come close as they have a laser light show too but no fountain show....MDSPOCK
,,Lovely day or night,5.0,,This is a lovely place to sit and enjoy a beer or cocktail or two! (although drinks are not cheap anywhere in Singapor!) The fountain show at night is good. It is a very vibrant area where you just sit and watch the world go by.
,,A lovely evening walk,4.0,,"Singapore has invested so much to create a lovely bay area and an accessible and interesting promenade around its perimeter. At night with all the lights , lasers and fountains it really is quite beautiful"
,,Great for walks at night,5.0,,Visit this place at night or near sun down when it fully lights up and you can see all the glitz and lights of waterfront.Free access.
,,Comes alive at night,5.0,,"A must during your visit to Singapore, quiet during the day but buzzing at night. Go to see the free water show each evening on the hour, it is amazing , lights , water and musical display.... everywhere lit up , the Singapore flyer , Marina Bay Sands hotel, water front and bridges ."
,,Very Beautiful,5.0,,"This place really lights up at night, a must for a pleasant stroll after dinner. There is an abundance of restaurants"
,,Merlion Park,5.0,,This is the place that you can get close to the iconic Merlion Statue & another background you have the Marina Bay Sands hotel
,,Soothing!,4.0,,"A very soothing laid back place to spend an evening or two, whenever in Singapore. Warning: Can get really crowded during the weekends, especially at dusk!"
,,Very Nice,5.0,,"Our hotel was nearby, so we spent every evening strolling the promenade. It was a relief to get a break from the sun and take in the breeze from the bay.

There are shows every night at 8 and 9pm. We found it quite comfortable to attend the SuperTree 7:45 show and the 9pm promenade show. No rush, which is our goal when on vacation.

Pictures are gorgeous from all locations."
,,GREAT BY DAY BUT JUST SENSATIONAL AT NIGHT.,5.0,,"WE WALKED AROUND THE WATERFRONT DURING THE DAY AND THERE IS SO MUCH TO SEE AND DO.
BUT at night the whole area comes to life. Packed restaurants, bars and eateries.
People everywhere enjoying the night life atmosphere. The lights at night including the light shows are a must to see.
HIGHLY RECOMMENDED."
,,Good to walk around,4.0,,There is a walkway along the Singapore River and you can basically walk along both sides. Cross bridges when needed or even have a meal at Boat Quay or Clark Quay areas. Walkway extends along both sides of the small river.
,,Brautiful and able to see many famous hotels and skyscrapers,5.0,,"I went there a few times . When you go there at night, you can see illuminated water show. Since it was very hot at day time, i felt very comfortable at night and the water show was beautiful with music. I enjoyed it very much. The show is free."
,,"GREAT FROM MBS, EVEN BETTER ON FOOT",5.0,,"I was able to get the vantage point view of it all from the Sky Port. So I set off for a nice long stroll, people watching, taking in the sailing boats, and all the different but interesting angles on the MBS. Lots going on with tour groups on the move constantly. Fun to just sit and relax and take it all in. Bring a book if it's not too hot and enjouy"
,,Party,5.0,,"The night clubs where pumping.Friendly people and an Amazing range of food.The rail system is the best I’ve used in 10 countries! Clean,full of life and great day or night."
,,enjoy singapore's skyline,4.0,,"excellent place to chill and just unwind in the city with a view. get some food and drinks, and this place will be the perfect way to end the night"
,,River HongBao 🧧,5.0,,"Many activities during Chinese Lunar New Year. Beautiful skyline of Singapore, Near Singapore Flyer & Singapore River."
,,A Relaxation and Rejuvenate Evening Walk,5.0,,"One should never miss and go for an leisurely evening walk to enjoy the colorful and breezing night with the surroundings and skyline so beautiful. Reminds us of the past, present and future Singapore City."
